id	dataset_id	institution_code	collection_code	catalog_number	basis_of_record	scientific_name	scientific_name_author	taxon_id	kingdom	phylum	class	order	family	genus	specific_epithet	kingdom_id	phylum_id	class_id	order_id	family_id	genus_id	species_id	country_code	host_country	latitude	longitude	year	month	event_date	elevation_in_meters	depth_in_meters	verbatim_scientific_name	taxon_rank	verbatim_kingdom	verbatim_phylum	verbatim_class	verbatim_order	verbatim_family	verbatim_genus	verbatim_specific_epithet	verbatim_infraspecific_epithet	verbatim_latitude	verbatim_longitude	coordinate_precision	maximum_elevation_in_meters	minimum_elevation_in_meters	elevation_precision	minimum_depth_in_meters	maximum_depth_in_meters	depth_precision	continent_ocean	state_province	county	country	recorded_by	locality	verbatim_year	verbatim_month	day	verbatim_basis_of_record	identified_by	date_identified	created	modified
321748801	7bd65a7a-f762-11e1-a439-00145eb45e9a	MO	Tropicos	1269079	PRESERVED_SPECIMEN	Pinus echinata Mill.	Mill.	5285324	Plantae	Pinophyta	Pinopsida	Pinales	Pinaceae	Pinus	Pinus echinata Mill.	6	101	194	640	3925	2684241	5285324	US	US	30.57	-86.55	1998	6	1998-06-03T00:00Z	40		Pinus echinata Mill.						Pinaceae	Pinus	echinata		30.57	-86.55			40					North America	Florida	Okaloosa	United States	James S. Miller & John Stone	Eglin Air Force Base, ca. 1 mi. west of Florida State Route 85 on Air Force Base Route 235.	1998	6	3	S	J. Stone (MO),		2011-01-14T04:05Z	2011-01-19T08:33Z
321748933	7bd65a7a-f762-11e1-a439-00145eb45e9a	MO	Tropicos	1684891	PRESERVED_SPECIMEN	Pinus echinata Mill.	Mill.	5285324	Plantae	Pinophyta	Pinopsida	Pinales	Pinaceae	Pinus	Pinus echinata Mill.	6	101	194	640	3925	2684241	5285324	US	US			1968	3	1968-03-31T00:00Z	218		Pinus echinata Mill.						Pinaceae	Pinus	echinata					237	198					North America	Texas	San Augustine	United States	Dunn, D.B.	Small cone. 25 mi S of Tenaha, open pine woods with oaks (Post Oak and 3 species of Pine). Very sandy soil (red), on Hwy 96.	1968	3	31	S			2011-01-14T04:05Z	2011-01-19T08:33Z
321748966	7bd65a7a-f762-11e1-a439-00145eb45e9a	MO	Tropicos	1685309	PRESERVED_SPECIMEN	Pinus echinata Mill.	Mill.	5285324	Plantae	Pinophyta	Pinopsida	Pinales	Pinaceae	Pinus	Pinus echinata Mill.	6	101	194	640	3925	2684241	5285324	US	US			1957	9	1957-09-28T00:00Z			Pinus echinata Mill.						Pinaceae	Pinus	echinata											North America	Louisiana	Bossier	United States	Logan, L.A.	4 mi W of Cotton Valley on Rocky Mt. Road, on flood plain of small stream. Moist, sandy soil. Densely wooded.	1957	9	28	S			2011-01-14T04:05Z	2011-01-19T08:33Z
172317074	95b17bbe-f762-11e1-a439-00145eb45e9a	EKY	EKY Plants	37658	UNKNOWN	Pinus echinata Mill.		5285324	Plantae	Pinophyta	Pinopsida	Pinales	Pinaceae	Pinus	Pinus echinata Mill.	6	101	194	640	3925	2684241	5285324	US	US								Pinus echinata P. Mill.						Pinaceae															Rockcastle	USA	Timothy J. Weckman, Hannah M. Weckman, Judith E. Rozeman	Anglin Falls, off Anglin Fork Rd., ca. 1.5 mi. E of Disputanta.							2008-08-07T12:24Z	2009-08-24T17:51Z
172361651	95b2d7ca-f762-11e1-a439-00145eb45e9a	MISS	MISS Vascular Plants	8911	UNKNOWN	Pinus echinata Mill.		5285324	Plantae	Pinophyta	Pinopsida	Pinales	Pinaceae	Pinus	Pinus echinata Mill.	6	101	194	640	3925	2684241	5285324	US	US								Pinus echinata P. Mill.																					Copiah	USA	R. R. Herrington Jr.								2008-08-07T12:50Z	2009-08-24T18:42Z
172361684	95b2d7ca-f762-11e1-a439-00145eb45e9a	MISS	MISS Vascular Plants	38321	UNKNOWN	Pinus echinata Mill.		5285324	Plantae	Pinophyta	Pinopsida	Pinales	Pinaceae	Pinus	Pinus echinata Mill.	6	101	194	640	3925	2684241	5285324	US	US								Pinus echinata P. Mill.																					Attala	USA	T. M. Pullen								2008-08-07T12:50Z	2009-08-24T18:42Z
168735534	8937328e-f762-11e1-a439-00145eb45e9a	OPSU	1617	OPSU34	UNKNOWN	Pinus echinata Mill.		5285324	Plantae	Pinophyta	Pinopsida	Pinales	Pinaceae	Pinus	Pinus echinata Mill.	6	101	194	640	3925	2684241	5285324		US								Pinus echinata P. Mill.																															2008-07-23T11:12Z	2011-12-15T16:55Z
168735831	8937328e-f762-11e1-a439-00145eb45e9a	SEOSU	3444	SEOSU17594	UNKNOWN	Pinus echinata Mill.		5285324	Plantae	Pinophyta	Pinopsida	Pinales	Pinaceae	Pinus	Pinus echinata Mill.	6	101	194	640	3925	2684241	5285324		US								Pinus echinata P. Mill.																															2008-07-23T11:12Z	2011-12-15T16:55Z
168735864	8937328e-f762-11e1-a439-00145eb45e9a	SEOSU	135	SEOSU20451	UNKNOWN	Pinus echinata Mill.		5285324	Plantae	Pinophyta	Pinopsida	Pinales	Pinaceae	Pinus	Pinus echinata Mill.	6	101	194	640	3925	2684241	5285324		US								Pinus echinata P. Mill.																															2008-07-23T11:12Z	2011-12-15T16:55Z
168735897	8937328e-f762-11e1-a439-00145eb45e9a	OKL	AB-3622	OKL240160	UNKNOWN	Pinus echinata Mill.		5285324	Plantae	Pinophyta	Pinopsida	Pinales	Pinaceae	Pinus	Pinus echinata Mill.	6	101	194	640	3925	2684241	5285324		US								Pinus echinata P. Mill.																															2008-07-23T11:12Z	2011-12-15T16:55Z
203357682	964651ee-f762-11e1-a439-00145eb45e9a	YPM	PB	PB.152730	PRESERVED_SPECIMEN	Pinus echinata Mill.	Mill.	5285324	Plantae	Pinophyta	Pinopsida	Pinales	Pinaceae	Pinus	Pinus echinata Mill.	6	101	194	640	3925	2684241	5285324		US								Pinus echinata		Plantae	Tracheophyta			Pinaceae	Pinus	echinata																				S			2009-03-23T17:37Z	2010-08-10T03:16Z
202631220	9642d0e6-f762-11e1-a439-00145eb45e9a	YPM	PB	PB.152783	PRESERVED_SPECIMEN	Pinus echinata Mill.	Mill.	5285324	Plantae	Pinophyta	Pinopsida	Pinales	Pinaceae	Pinus	Pinus echinata Mill.	6	101	194	640	3925	2684241	5285324		US								Pinus echinata		Plantae	Tracheophyta			Pinaceae	Pinus	echinata																				S			2009-03-13T17:47Z	2011-01-08T15:48Z
217036072	7133ff0a-f762-11e1-a439-00145eb45e9a	NY	Herbarium	60999	PRESERVED_SPECIMEN	Pinus echinata Mill.	Mill.	5285324	Plantae	Pinophyta	Pinopsida	Pinales	Pinaceae	Pinus	Pinus echinata Mill.	6	101	194	640	3925	2684241	5285324	US	US			1928	4	1928-04-03T00:00Z			Pinus echinata Mill.		Plantae	Pinophyta (conifers)			Pinaceae	Pinus	echinata											North America	Virginia		United States of America	G. E. Howard	This specimen represents an endangered or threatened species. The specific locality has been removed from this record to protect this species from over-collection. These data may be supplied to researchers on request.	1928	04	03	S			2009-08-24T16:41Z	2011-01-28T03:07Z
217036759	7133ff0a-f762-11e1-a439-00145eb45e9a	NY	Herbarium	579473	PRESERVED_SPECIMEN	Pinus echinata Mill.	Mill.	5285324	Plantae	Pinophyta	Pinopsida	Pinales	Pinaceae	Pinus	Pinus echinata Mill.	6	101	194	640	3925	2684241	5285324	US	US			2001	9	2001-09-22T00:00Z			Pinus echinata Mill.		Plantae	Pinophyta (conifers)			Pinaceae	Pinus	echinata											North America	New York	Richmond Co.	United States of America	J. Silba	This specimen represents an endangered or threatened species. The specific locality has been removed from this record to protect this species from over-collection. These data may be supplied to researchers on request.	2001	09	22	S			2009-08-24T16:41Z	2011-01-28T03:07Z
217076458	84f9770e-f762-11e1-a439-00145eb45e9a	UA	UNA	UNA00026250	PRESERVED_SPECIMEN	Pinus echinata Mill.	P. Mill.	5285324	Plantae	Pinophyta	Pinopsida	Pinales	Pinaceae	Pinus	Pinus echinata Mill.	6	101	194	640	3925	2684241	5285324	US	US	32.25	-87.77	1995	11	1995-11-05T00:00Z			Pinus echinata P. Mill.		Plantae				Pinaceae	Pinus	echinata		32.25	-87.77	32187							North and Central America	Alabama	Marengo	US	David H. Burk	Marengo County T16N R2E S	1995	11	05	S			2009-08-24T16:58Z	2013-01-10T19:11Z
36572429	849c69c4-f762-11e1-a439-00145eb45e9a	NTSRV	PA-NHP	EO.58.2040	PRESERVED_SPECIMEN	Pinus echinata Mill.	P. Mill.	5285324	Plantae	Pinophyta	Pinopsida	Pinales	Pinaceae	Pinus	Pinus echinata	6	101	194	640	3925	2684241	5285324	US				1948					Pinus echinata		Plantae	Coniferophyta	Pinopsida	Pinales	Pinaceae	Pinus	echinata											North America	Pennsylvania	Fulton (PA)	UNITED STATES	Westerfeld, W. F. (#3698). 1948. #5296. PS.	Fulton (PA)	1948			Specimen			2007-03-21T23:27Z	2013-12-23T22:47Z
352188694	964651ee-f762-11e1-a439-00145eb45e9a	YPM	PB	YPM PB 152878	PRESERVED_SPECIMEN	Pinus echinata Mill.	Mill.	5285324	Plantae	Pinophyta	Pinopsida	Pinales	Pinaceae	Pinus	Pinus echinata	6	101	194	640	3925	2684241	5285324		US								Pinus echinata		Plantae	Tracheophyta			Pinaceae	Pinus	echinata																				S			2011-04-29T03:30Z	2013-12-22T20:27Z
358973120	8937328e-f762-11e1-a439-00145eb45e9a	OKL	CC302	OKL235842a	UNKNOWN	Pinus echinata Mill.		5285324	Plantae	Pinophyta	Pinopsida	Pinales	Pinaceae	Pinus	Pinus echinata Mill.	6	101	194	640	3925	2684241	5285324		US								Pinus echinata P. Mill.																															2011-05-10T15:57Z	2011-12-15T16:55Z
346753144	963f12d0-f762-11e1-a439-00145eb45e9a	YPM	BOT	YPM YU 024521	PRESERVED_SPECIMEN	Pinus echinata Mill.	Mill.	5285324	Plantae	Pinophyta	Pinopsida	Pinales	Pinaceae	Pinus	Pinus echinata	6	101	194	640	3925	2684241	5285324		US								Pinus echinata		Plantae	Tracheophyta			Pinaceae	Pinus	echinata																				S			2011-04-26T11:32Z	2013-12-22T20:28Z
352188662	964651ee-f762-11e1-a439-00145eb45e9a	YPM	PB	YPM PB 152730	PRESERVED_SPECIMEN	Pinus echinata Mill.	Mill.	5285324	Plantae	Pinophyta	Pinopsida	Pinales	Pinaceae	Pinus	Pinus echinata	6	101	194	640	3925	2684241	5285324		US								Pinus echinata		Plantae	Tracheophyta			Pinaceae	Pinus	echinata																				S			2011-04-29T03:30Z	2013-12-22T20:27Z
56627119	84f9770e-f762-11e1-a439-00145eb45e9a	UA	UNA	UNA00029153	PRESERVED_SPECIMEN	Pinus echinata Mill.	P. Mill.	5285324	Plantae	Pinophyta	Pinopsida	Pinales	Pinaceae	Pinus	Pinus echinata Mill.	6	101	194	640	3925	2684241	5285324	US	US	30.99361	-87.85806	1887	4	1887-04-02T00:00Z			Pinus echinata P. Mill.		Plantae				Pinaceae	Pinus	echinata		30.99361	-87.85806	1138							North and Central America	Alabama	Baldwin	US	Charles Mohr	Stockton	1887	04	02	S			2007-03-28T12:52Z	2013-01-10T19:11Z
575180997	bf2a4bf0-5f31-11de-b67e-b8a03c50a862	E	E	E00078656	PRESERVED_SPECIMEN	Pinus echinata Mill.		5285324	Plantae	Pinophyta	Pinopsida	Pinales	Pinaceae	Pinus	Pinus echinata	6	101	194	640	3925	2684241	5285324	US	GB								Pinus echinata Mill.						Pinaceae	Pinus	echinata												Luisiana		US	Drummond					PreservedSpecimen			2012-04-25T16:29Z	2013-12-23T17:55Z
666161249	90c853e6-56bd-480b-8e8f-6285c3f8d42b	F	Botany	242080	PRESERVED_SPECIMEN	Pinus echinata Mill.		5285324	Plantae	Pinophyta	Pinopsida	Pinales	Pinaceae	Pinus	Pinus echinata Mill.	6	101	194	640	3925	2684241	5285324	US	US	38.0	-98.0						Pinus echinata Mill.		Plantae	Spermatophyta	Pinopsida		Pinaceae	Pinus	echinata		38.0000	-98.0000								North America			U.S.A.	Hur. H. Smith					PreservedSpecimen			2012-07-17T16:07Z	2013-06-04T18:43Z
