dlist,elist,genus_jw,se_jw,gender_switch
Abelmoschus esculentus,Abelmoschus esculentus,1.0,1.0,False
Abelmoschus tuberculatus,Abelmoschus tuberculatus,1.0,1.0,False
Abies alba,Abies alba,1.0,1.0,False
Abies numidica,Abies numidica,1.0,1.0,False
Abies nephrolepis,Abies nephrolepis,1.0,1.0,False
Abies fraseri,Abies fraseri,1.0,1.0,False
Abies ajanensis,Abies ajanensis,1.0,1.0,False
Abies douglasii,Abies douglasii,1.0,1.0,False
Abies magnifica,Abies magnifica,1.0,1.0,False
Abies nebrodensis,Abies nebrodensis,1.0,1.0,False
Abies amabilis,Abies amabilis,1.0,1.0,False
Abies cephalonica,Abies cephalonica,1.0,1.0,False
Abies pinsapo,Abies pinsapo,1.0,1.0,False
Abies sibirica,Abies sibirica,1.0,1.0,False
Abies webbiana,Abies webbiana,1.0,1.0,False
Abies concolor,Abies concolor,1.0,1.0,False
Abies firma,Abies firma,1.0,1.0,False
Abies pattoniana,Abies pattoniana,1.0,1.0,False
Abies orientalis,Abies orientalis,1.0,1.0,False
Abies mertensiana,Abies mertensiana,1.0,1.0,False
Abies borisii-regis,Abies borisii-regis,1.0,1.0,False
Abies sachalinensis,Abies sachalinensis,1.0,1.0,False
Abies khutrow,Abies khutrow,1.0,1.0,False
Abies holophylla,Abies holophylla,1.0,1.0,False
Abies minor,Abies minor,1.0,1.0,False
Abies baborensis,Abies baborensis,1.0,1.0,False
Abies larix,Abies larix,1.0,1.0,False
Abies grandis,Abies grandis,1.0,1.0,False
Abies pindrow,Abies pindrow,1.0,1.0,False
Abies picea,Abies picea,1.0,1.0,False
Abies procera,Abies procera,1.0,1.0,False
Abies nordmanniana,Abies nordmanniana,1.0,1.0,False
Abies balsamea,Abies balsamea,1.0,1.0,False
Abies veitchii,Abies veitchii,1.0,1.0,False
Abies cilicica,Abies cilicica,1.0,1.0,False
Abies smithiana,Abies smithiana,1.0,1.0,False
Abies lowiana,Abies lowiana,1.0,1.0,False
Abies koreana,Abies koreana,1.0,1.0,False
Abies glehni,Abies glehnii,1.0,0.980952380952,True
Abies lasiocarpa,Abies lasiocarpa,1.0,1.0,False
Abies atlantica,Abies atlantica,1.0,1.0,False
Abies homolepis,Abies homolepis,1.0,1.0,False
Abronia umbellata,Abronia umbellata,1.0,1.0,False
Abronia lanceolata,Abronia lanceolata,1.0,1.0,False
Abronia mellifera,Abronia mellifera,1.0,1.0,False
Abronia villosa,Abronia villosa,1.0,1.0,False
Abronia gracilis,Abronia gracilis,1.0,1.0,False
Abronia maritima,Abronia maritima,1.0,1.0,False
Abronia suksdorfii,Abronia suksdorfii,1.0,1.0,False
Abutilon leiospermum,Abutilon leiospermum,1.0,1.0,False
Abutilon cunninghamii,Abutilon cunninghamii,1.0,1.0,False
Abutilon albidum,Abutilon albidum,1.0,1.0,False
Abutilon graveolens,Abutilon graveolens,1.0,1.0,False
Abutilon subpapyraceum,Abutilon subpapyraceum,1.0,1.0,False
