"gbif","myco","genus_jw","se_jw","gswitch","bothtpl","suspect","remove","manual.remove"
"Anchusa macrocarpa","Anchusa macrocalyx",1,0.94,"False","FALSE","TRUE","FALSE",1
"Atriplex macrotheca","Atriplex microtheca",1,0.94,"False","FALSE","TRUE","FALSE",1
"Cassia pachycalyx","Cassia pachycarpa",1,0.94,"False","FALSE","TRUE","FALSE",1
"Crataegus macrocalyx","Crataegus macrocarpa",1,0.94,"False","FALSE","TRUE","FALSE",1
"Impatiens chapaensis","Impatiens capensis",1,0.94,"False","FALSE","TRUE","FALSE",1
"Medicago stellata","Medicago scutellata",1,0.94,"False","FALSE","TRUE","FALSE",1
"Polygonum scaberulum","Polygonum scabrum",1,0.94,"False","FALSE","TRUE","FALSE",1
"Primula macrocarpa","Primula macrocalyx",1,0.94,"False","FALSE","TRUE","FALSE",1
"Rosa adenocarpa","Rosa adenocalyx",1,0.94,"False","FALSE","TRUE","FALSE",1
"Salix stipulacea","Salix stipularis",1,0.94,"False","FALSE","TRUE","FALSE",1
"Thymus hesperidum","Thymus hesperites",1,0.94,"False","FALSE","TRUE","FALSE",1
"Carex longebrachiata","Carex longibracteata",1,0.9406593407,"False","FALSE","TRUE","FALSE",1
"Cenchrus ramosus","Cenchrus racemosus",1,0.9407407407,"False","FALSE","TRUE","FALSE",1
"Hedysarum ramosum","Hedysarum racemosum",1,0.9407407407,"False","FALSE","TRUE","FALSE",1
"Hibiscus ramosus","Hibiscus racemosus",1,0.9407407407,"False","FALSE","TRUE","FALSE",1
"Ranunculus aquaticus","Ranunculus aquatilis",1,0.9407407407,"False","FALSE","TRUE","FALSE",1
"Rosa rufescens","Rosa rubescens",1,0.9407407407,"False","FALSE","TRUE","FALSE",1
"Rosa granulata","Rosa granulosa",1,0.9407407407,"False","FALSE","TRUE","FALSE",1
"Rubus trichopus","Rubus trichodes",1,0.9407407407,"False","FALSE","TRUE","FALSE",1
"Salvia laciniosa","Salvia laciniata",1,0.9407407407,"False","FALSE","TRUE","FALSE",1
"Hieracium subphalarograptum","Hieracium phalarograptum",1,0.9411764706,"False","FALSE","TRUE","FALSE",1
"Phyteuma begoniifolium","Phyteuma betonicifolium",1,0.9413919414,"False","FALSE","TRUE","FALSE",1
"Rubus nitidioides","Rubus nitioides",1,0.9414141414,"False","FALSE","TRUE","FALSE",1
"Amaranthus spiratus","Amaranthus spicatus",1,0.9416666667,"False","FALSE","TRUE","FALSE",1
"Centaurea lanulata","Centaurea lanata",1,0.9416666667,"False","FALSE","TRUE","FALSE",1
"Hieracium intercalatum","Hieracium internatum",1,0.9416666667,"False","FALSE","TRUE","FALSE",1
"Hieracium pachycybodes","Hieracium pachylodes",1,0.9416666667,"False","FALSE","TRUE","FALSE",1
"Rubus roseus","Rubus rosaceus",1,0.9416666667,"False","FALSE","TRUE","FALSE",1
"Salix wardiana","Salix wargiana",1,0.9416666667,"False","FALSE","TRUE","FALSE",1
"Solanum caldense","Solanum calcense",1,0.9416666667,"False","FALSE","TRUE","FALSE",1
"Campanula lilifolia","Campanula liliflora",1,0.9421296296,"False","FALSE","TRUE","FALSE",1
"Carex specicola","Carex speciosa",1,0.9421296296,"False","FALSE","TRUE","FALSE",1
"Mimosa pilifera","Mimosa piliflora",1,0.9421296296,"False","FALSE","TRUE","FALSE",1
"Plantago eriophora","Plantago eriopoda",1,0.9421296296,"False","FALSE","TRUE","FALSE",1
"Hieracium glaucosarcum","Hieracium glaucochroum",1,0.9422222222,"False","FALSE","TRUE","FALSE",1
"Rosa heterophylla","Rosa heterostyla",1,0.9424242424,"False","FALSE","TRUE","FALSE",1
"Rubus chrysogaeus","Rubus chrysocarpus",1,0.9424242424,"False","FALSE","TRUE","FALSE",1
"Gentianella dentosa","Gentianella detonsa",1,0.9428571429,"False","FALSE","TRUE","FALSE",1
"Glycine helvola","Glycine helvula",1,0.9428571429,"False","FALSE","TRUE","FALSE",1
"Impatiens luteola","Impatiens lutea",1,0.9428571429,"False","FALSE","TRUE","FALSE",1
"Primula luteola","Primula lutea",1,0.9428571429,"False","FALSE","TRUE","FALSE",1
"Rosa firmula","Rosa firma",1,0.9428571429,"False","FALSE","TRUE","FALSE",1
"Rosa rubea","Rosa rubella",1,0.9428571429,"False","FALSE","TRUE","FALSE",1
"Rubus rudinus","Rubus rudis",1,0.9428571429,"False","FALSE","TRUE","FALSE",1
"Saxifraga flavida","Saxifraga flava",1,0.9428571429,"False","FALSE","TRUE","FALSE",1
"Artemisia gracillima","Artemisia gracilis",1,0.9433333333,"False","FALSE","TRUE","FALSE",1
"Potamogeton montanense","Potamogeton montanus",1,0.9433333333,"False","FALSE","TRUE","FALSE",1
"Rubus abruptorum","Rubus abruptus",1,0.9433333333,"False","FALSE","TRUE","FALSE",1
"Hieracium obellipticum","Hieracium ellipticum",1,0.9444444444,"False","FALSE","TRUE","FALSE",1
"Potentilla glabrella","Potentilla glabra",1,0.9444444444,"False","FALSE","TRUE","FALSE",1
"Salix lanatella","Salix lanata",1,0.9444444444,"False","FALSE","TRUE","FALSE",1
"Mentha eisenstadiana","Mentha eisensteiniana",1,0.945004995,"False","FALSE","TRUE","FALSE",1
"Alnus microphylla","Alnus macrophylla",1,0.9454545455,"False","FALSE","TRUE","FALSE",1
"Crataegus macrophylla","Crataegus microphylla",1,0.9454545455,"False","FALSE","TRUE","FALSE",1
"Impatiens trichochila","Impatiens trichocarpa",1,0.9454545455,"False","FALSE","TRUE","FALSE",1
"Lonicera macrophylla","Lonicera microphylla",1,0.9454545455,"False","FALSE","TRUE","FALSE",1
"Mentha microphylla","Mentha macrophylla",1,0.9454545455,"False","FALSE","TRUE","FALSE",1
"Rubus tardiflorus","Rubus triflorus",1,0.9454545455,"False","FALSE","TRUE","FALSE",1
"Heliotropium linearifolium","Heliotropium linifolium",1,0.9461538462,"False","FALSE","TRUE","FALSE",1
"Crataegus intermixta","Crataegus intermedia",1,0.9466666667,"False","FALSE","TRUE","FALSE",1
"Piper brevicuspe","Piper brevicaule",1,0.9466666667,"False","FALSE","TRUE","FALSE",1
"Pyrus boraeana","Pyrus bourgaeana",1,0.9466666667,"False","FALSE","TRUE","FALSE",1
"Ranunculus acrifolius","Ranunculus acriformis",1,0.9466666667,"False","FALSE","TRUE","FALSE",1
"Rubus rudifolius","Rubus rudiformis",1,0.9466666667,"False","FALSE","TRUE","FALSE",1
"Rubus rorulentus","Rubus rosulentus",1,0.9466666667,"False","FALSE","TRUE","FALSE",1
