"dlist","elist","genus_jw","se_jw","gender_switch"
"Astragalus vicarius","Astragalus vesicarius",1,0.94,"False"
"Biscutella turolensis","Biscutella tirolensis",1,0.94,"False"
"Biscutella turolensis","Biscutella tirolensis",1,0.94,"False"
"Caiophora silvestris","Caiophora sylvestris",1,0.94,"False"
"Calliandra macrocalyx","Calliandra microcalyx",1,0.94,"False"
"Camelina macrocarpa","Camelina microcarpa",1,0.94,"False"
"Camelina macrocarpa","Camelina microcarpa",1,0.94,"False"
"Carapa microcarpa","Carapa macrocarpa",1,0.94,"False"
"Carex macrolepis","Carex microlepis",1,0.94,"False"
"Carex amgunensis","Carex argunensis",1,0.94,"False"
"Carex macrolepis","Carex microlepis",1,0.94,"False"
"Casearia silvestris","Casearia sylvestris",1,0.94,"False"
"Cecropia latiloba","Cecropia lyratiloba",1,0.94,"False"
"Cedrela microcarpa","Cedrela macrocarpa",1,0.94,"False"
"Cerastium silvaticum","Cerastium sylvaticum",1,0.94,"False"
"Cyperus flavescens","Cyperus fulvescens",1,0.94,"False"
"Cyrtandra microcarpa","Cyrtandra macrocarpa",1,0.94,"False"
"Eugenia microcarpa","Eugenia macrocarpa",1,0.94,"False"
"Euphorbia macroclada","Euphorbia microclada",1,0.94,"False"
"Ficus microcarpa","Ficus macrocarpa",1,0.94,"False"
"Ficus microcarpa","Ficus macrocarpa",1,0.94,"False"
"Ficus microcarpa","Ficus macrocarpa",1,0.94,"False"
"Gentiana microcalyx","Gentiana macrocalyx",1,0.94,"False"
"Gentiana microcalyx","Gentiana macrocalyx",1,0.94,"False"
"Impatiens chapaensis","Impatiens capensis",1,0.94,"False"
"Isatis microcarpa","Isatis macrocarpa",1,0.94,"False"
"Lychnis silvestris","Lychnis sylvestris",1,0.94,"False"
"Myrica macrocarpa","Myrica microcarpa",1,0.94,"False"
"Panicum nudiflorum","Panicum nodiflorum",1,0.94,"False"
"Persea microcarpa","Persea macrocarpa",1,0.94,"False"
"Polygonum hidropiper","Polygonum hydropiper",1,0.94,"False"
"Potentilla huparctica","Potentilla hyparctica",1,0.94,"False"
"Primula tardiflora","Primula triflora",1,0.94,"False"
"Primula microcalyx","Primula macrocalyx",1,0.94,"False"
"Quercus macrocarpa","Quercus microcarpa",1,0.94,"False"
"Quercus macrolepis","Quercus microlepis",1,0.94,"False"
"Rhynchospora microcarpa","Rhynchospora macrocarpa",1,0.94,"False"
"Rhynchospora microcarpa","Rhynchospora macrocarpa",1,0.94,"False"
"Rosa macrocarpa","Rosa microcarpa",1,0.94,"False"
"Tabernaemontana macrocarpa","Tabernaemontana microcarpa",1,0.94,"False"
"Thalictrum silvaticum","Thalictrum sylvaticum",1,0.94,"False"
"Torilis microcarpa","Torilis macrocarpa",1,0.94,"False"
"Zygophyllum mucronatum","Zygophyllum micronatum",1,0.94,"False"
"Begonia hookeriana","Begonia hookeri",1,0.94,"False"
"Calamagrostis halleri","Calamagrostis halleriana",1,0.94,"False"
"Calamagrostis grandiseta","Calamagrostis grandis",1,0.94,"False"
"Carex tenuior","Carex tenuiflora",1,0.94,"False"
"Carex perstricta","Carex persica",1,0.94,"False"
"Carex festivella","Carex festiva",1,0.94,"False"
"Carex vulpinaris","Carex vulpina",1,0.94,"False"
"Carex tetanica var. woodii","Carex tetanica var. meadii",1,0.94,"False"
"Carex tetanica var. woodii","Carex tetanica var. meadii",1,0.94,"False"
"Carex ventosa","Carex ventricosa",1,0.94,"False"
"Diervilla floribunda","Diervilla florida",1,0.94,"False"
"Epilobium gracilipes","Epilobium gracile",1,0.94,"False"
"Galium incanum","Galium incarnatum",1,0.94,"False"
"Galium scabrellum","Galium scabrum",1,0.94,"False"
"Galium aparinella","Galium aparine",1,0.94,"False"
"Linaria striatella","Linaria striata",1,0.94,"False"
"Miconia floribunda","Miconia florida",1,0.94,"False"
"Oenothera nanella de","Oenothera nanella",1,0.94,"False"
"Oenothera oblonga de","Oenothera oblonga",1,0.94,"False"
"Poa secunda","Poa secundaria",1,0.94,"False"
"Quercus bicolorata","Quercus bicolor",1,0.94,"False"
"Ranunculus allenii","Ranunculus allemannii",1,0.94,"False"
"Rhynchospora floribunda","Rhynchospora florida",1,0.94,"False"
"Rosa collina","Rosa collincola",1,0.94,"False"
"Rosa collina","Rosa collincola",1,0.94,"False"
"Rosa collina","Rosa collincola",1,0.94,"False"
"Rosa collina","Rosa collincola",1,0.94,"False"
"Trifolium incanum","Trifolium incarnatum",1,0.94,"False"
"Valeriana floribunda","Valeriana florida",1,0.94,"False"
"Weigela floribunda","Weigela florida",1,0.94,"False"
"Weigela floribunda","Weigela florida",1,0.94,"False"
"Weigelia floribunda","Weigela florida",0.975,0.94,"False"
"Caladium bicolor f. argyrospilum","Caladium bicolor var. argyrospilum",1,0.94003162055336,"False"
"Cerastium arvense f. eglandulosum","Cerastium arvense var. eglandulosum",1,0.94003162055336,"False"
"Hydrangea macrophylla f. normalis","Hydrangea macrophylla var. normalis",1,0.94003162055336,"False"
"Lamium purpureum f. albiflorum","Lamium purpureum var. albiflorum",1,0.94003162055336,"False"
"Robinia pseudoacacia f. inermis","Robinia pseudoacacia var. inermis",1,0.94003162055336,"False"
"Veronica peregrina f. xalapensis","Veronica peregrina var. xalapensis",1,0.94003162055336,"False"
"Eriophyllum lanatum var. cuneatum","Eriophyllum lanatum var. lanatum",1,0.94031746031746,"False"
"Juniperus communis var. erecta","Juniperus communis var. stricta",1,0.94031746031746,"False"
"Vicia sativa subsp. cordata","Vicia sativa subsp. notata",1,0.94031746031746,"False"
"Vicia sativa subsp. cordata","Vicia sativa subsp. notata",1,0.94031746031746,"False"
"Anemone narcissifolia subsp. chrysantha","Anemone narcissiflora subsp. chrysantha",1,0.940430107526882,"False"
"Deschampsia caespitosa subsp. bottnica","Deschampsia cespitosa subsp. bottnica",1,0.940461538461538,"False"
"Saxifraga caespitosa subsp. uniflora","Saxifraga cespitosa subsp. uniflora",1,0.940461538461538,"False"
"Cerastium alpinum subsp. squalidum","Cerastium alpinum subsp. aquaticum",1,0.94047619047619,"False"
"Dactylis glomerata subsp. judaica","Dactylis glomerata subsp. altaica",1,0.94047619047619,"False"
"Hieracium pannosiforme","Hieracium pannoniciforme",1,0.94047619047619,"False"
"Scaevola gaudichaudiana","Scaevola gaudichaudii",1,0.94047619047619,"False"
"Viola pseudostagnina","Viola pseudocanina",1,0.94047619047619,"False"
"Calliopsis cardaminefolia","Calliopsis cardaminifolia",1,0.940659340659341,"False"
"Carex longebrachiata","Carex longibracteata",1,0.940659340659341,"False"
"Diphysa carthagenensis","Diphysa carthaginensis",1,0.940659340659341,"False"
"Potentilla alchemilloides","Potentilla alchimilloides",1,0.940659340659341,"False"
"Potentilla alchemilloides","Potentilla alchimilloides",1,0.940659340659341,"False"
"Ranunculus oenanthifolius","Ranunculus oenanthefolius",1,0.940659340659341,"False"
"Spiraea chamaedrifolia","Spiraea chamaedryfolia",1,0.940659340659341,"False"
"Spiraea chamaedrifolia","Spiraea chamaedryfolia",1,0.940659340659341,"False"
"Aristida hermannii","Aristida heymannii",1,0.940740740740741,"False"
"Bromus ramosus","Bromus racemosus",1,0.940740740740741,"False"
"Bromus ramosus","Bromus racemosus",1,0.940740740740741,"False"
"Cenchrus ramosus","Cenchrus racemosus",1,0.940740740740741,"False"
"Cyperus ramosus","Cyperus racemosus",1,0.940740740740741,"False"
"Echinops davuricus","Echinops dahuricus",1,0.940740740740741,"False"
"Echinops davuricus","Echinops dahuricus",1,0.940740740740741,"False"
"Elymus yezoensis","Elymus yesoensis",1,0.940740740740741,"False"
"Elymus yezoensis","Elymus yesoensis",1,0.940740740740741,"False"
"Euonymus yedoensis","Euonymus yesoensis",1,0.940740740740741,"False"
"Euphorbia piceoides","Euphorbia pileoides",1,0.940740740740741,"False"
"Euphrasia eduardi","Euphrasia edouardii",1,0.940740740740741,"False"
"Indigofera limifolia","Indigofera linifolia",1,0.940740740740741,"False"
"Lepidium racemosum","Lepidium ramosum",1,0.940740740740741,"False"
"Leymus ramosus","Leymus racemosus",1,0.940740740740741,"False"
"Opuntia rubescens","Opuntia rufescens",1,0.940740740740741,"False"
"Opuntia rubescens","Opuntia rufescens",1,0.940740740740741,"False"
"Poa laxiflora","Poa latiflora",1,0.940740740740741,"False"
"Populus jezoensis","Populus jesoensis",1,0.940740740740741,"False"
"Rosa rufescens","Rosa rubescens",1,0.940740740740741,"False"
"Rubus viretorum","Rubus vinetorum",1,0.940740740740741,"False"
"Sideroxylon guyanense","Sideroxylon guianense",1,0.940740740740741,"False"
"Acer mono f. ambiguum","Acer mono var. ambiguum",1,0.940833333333333,"False"
"Agropyron orientale var. lanuginosum","Agropyron orientale var. sublanuginosum",1,0.940848806366048,"False"
"Quercus suber var. microcarpa","Quercus suber var. macrocarpa",1,0.940952380952381,"False"
"Acer pseudoplatanus f. purpureum","Acer pseudoplatanus var. purpureum",1,0.941133706650948,"False"
"Veronica chamaedrys var. eglandulosa","Veronica chamaedrys var. subglandulosa",1,0.941133706650948,"False"
"Chamaenerion angustifolium var. canescens","Chamaenerion angustifolium var. pubescens",1,0.941142857142857,"False"
"Euthamia tenuifolia var. pycnocephala","Euthamia tenuifolia var. microcephala",1,0.941142857142857,"False"
"Geranium pyrenaicum var. umbrosum","Geranium pyrenaicum var. nemorosum",1,0.941151515151515,"False"
