gbif	canonical	genus_jw	se_jw	gswitch	fuzzy	bothwfo	suspect	spelling_alternative	remove
Caiophora silvestris	Caiophora sylvestris	1	0.94	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE
Casearia silvestris	Casearia sylvestris	1	0.94	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE
Potentilla huparctica	Potentilla hyparctica	1	0.94	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
Thalictrum silvaticum	Thalictrum sylvaticum	1	0.94	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE
Oenothera nanella de	Oenothera nanella	1	0.94	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
Oenothera oblonga de	Oenothera oblonga	1	0.94	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
Caladium bicolor f. argyrospilum	Caladium bicolor var. argyrospilum	1	0.94003162055336	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE
Cerastium arvense f. eglandulosum	Cerastium arvense var. eglandulosum	1	0.94003162055336	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE
Hydrangea macrophylla f. normalis	Hydrangea macrophylla var. normalis	1	0.94003162055336	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE
Lamium purpureum f. albiflorum	Lamium purpureum var. albiflorum	1	0.94003162055336	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE
Robinia pseudoacacia f. inermis	Robinia pseudoacacia var. inermis	1	0.94003162055336	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE
Veronica peregrina f. xalapensis	Veronica peregrina var. xalapensis	1	0.94003162055336	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE
Anemone narcissifolia subsp. chrysantha	Anemone narcissiflora subsp. chrysantha	1	0.940430107526882	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
Deschampsia caespitosa subsp. bottnica	Deschampsia cespitosa subsp. bottnica	1	0.940461538461538	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE
Saxifraga caespitosa subsp. uniflora	Saxifraga cespitosa subsp. uniflora	1	0.940461538461538	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE
Calliopsis cardaminefolia	Calliopsis cardaminifolia	1	0.940659340659341	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
Carex longebrachiata	Carex longibracteata	1	0.940659340659341	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
Ranunculus oenanthifolius	Ranunculus oenanthefolius	1	0.940659340659341	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
Euphrasia eduardi	Euphrasia edouardii	1	0.940740740740741	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
Populus jezoensis	Populus jesoensis	1	0.940740740740741	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
Rosa rufescens	Rosa rubescens	1	0.940740740740741	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
Acer mono f. ambiguum	Acer mono var. ambiguum	1	0.940833333333333	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE
Quercus suber var. microcarpa	Quercus suber var. macrocarpa	1	0.940952380952381	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
Acer pseudoplatanus f. purpureum	Acer pseudoplatanus var. purpureum	1	0.941133706650948	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE
Veronica chamaedrys var. eglandulosa	Veronica chamaedrys var. subglandulosa	1	0.941133706650948	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
Geranium pyrenaicum var. umbrosum	Geranium pyrenaicum var. nemorosum	1	0.941151515151515	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
Kyllinga intermedia var. oligostachya	Kyllinga intermegia var. oligostachya	1	0.941269841269841	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
Caladium bicolor f. chantinii	Caladium bicolor var. chantinii	1	0.941674641148325	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE
Euonymus oxyphyllus f. magnus	Euonymus oxyphyllus var. magnus	1	0.941674641148325	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE
Sedum aizoon f. latifolium	Sedum aizoon var. latifolium	1	0.941674641148325	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE
