canonical	gbif_match	gbif_full
Oenothera nanella	Oenothera nanella de	Oenothera nanella de Vries
Oenothera oblonga	Oenothera oblonga de	Oenothera oblonga de Vries
Potentilla hyparctica	Potentilla huparctica	Potentilla huparctica
Calliopsis cardaminifolia	Calliopsis cardaminefolia	Calliopsis cardaminefolia DC.
Carex longibracteata	Carex longebrachiata	Carex longebrachiata Boeckeler
Ranunculus oenanthefolius	Ranunculus oenanthifolius	Ranunculus oenanthifolius Ten. & Guss.
Euphrasia edouardii	Euphrasia eduardi	Euphrasia eduardi Sennen
Populus jesoensis	Populus jezoensis	Populus jezoensis Nakai
Rosa rubescens	Rosa rufescens	Rosa rufescens Gand.
Kyllinga intermegia var. oligostachya	Kyllinga intermedia var. oligostachya	Kyllinga intermedia var. oligostachya C.B.Clarke
Aloe arborescens	Aloe arborecens	Aloe arborecens Mill.
Scrophularia hemschinica	Scrophularia hemshinica	Scrophularia hemshinica K.Koch, 1849
Solanum ptychanthum	Solanum ptycanthum	Solanum ptycanthum Dunal
Amaranthus viridis	Amaranthus viridus	Amaranthus viridus L.
Bromus dardori	Bromus darderi	Bromus darderi Sennen
Cotula plumose	Cotula plumosa	Cotula plumosa Hook.fil.
Deutzia hayatae	Deutzia hayatai	Deutzia hayatai Nakai
Genista hirsute	Genista hirsuta	Genista hirsuta Moench
Genista hirsute	Genista hirsuta	Genista hirsuta Vahl
Heracleum lecokii	Heracleum lecoqii	Heracleum lecoqii Godr., 1849
Picea koyamai	Picea koyamae	Picea koyamae Shiras.
Picea omorika	Picea omorica	Picea omorica Pančić
Picea omorika	Picea omorica	Picea omorica Pančić ex Stein
Psidium guayava	Psidium guayana	Psidium guayana
Strophostyles helvola	Strophostyles helvula	Strophostyles helvula (L.) Elliott
Avena longipilosa	Avena longepilosa	Avena longepilosa Sennen, 1929
Biscutella megalocarpa	Biscutella megacarpea	Biscutella megacarpea
Epilobium adenocladon	Epilboium adenocaulon	Epilboium adenocaulon
Fallopia convolvulus	Fallopia convolvolus	Fallopia convolvolus (L.) A.Löve
Gleditschia triacanthos	Gleditschia triacantha	Gleditschia triacantha Gaertn.
Onobrychis viciifolia	Onobrychis viciaefolia	Onobrychis viciaefolia Scop.
Polygonum convolvulus	Polygonum convolvolus	Polygonum convolvolus L.
Ambrosia artemisiifolia	Ambrosia artemisiaefolia	Ambrosia artemisiaefolia Besser
Ambrosia artemisiifolia	Ambrosia artemisiaefolia	Ambrosia artemisiaefolia L.
Ranunculus sceleratus	Ranunculus scleratus	Ranunculus scleratus
Trillium declinatum	Trillium delicatum	Trillium delicatum Floden & E.E.Schill.
Elsholtzia cypriani var. longipilosa	Elsholtzia cyprianii var. longipilosa	Elsholtzia cyprianii var. longipilosa (Hand.-Mazz.) C.Y.Wu & S.C.Huang
Centaurea ovina	Centaurea bovina	Centaurea bovina Velen.
Hieracium subaundum	Hieracium subnudum	Hieracium subnudum Froel.
Ranunculus boraeanus	Ranunculus boreanus	Ranunculus boreanus Jord.
Saponaria oxydonta	Saponaria oxyodonta	Saponaria oxyodonta (Boiss.) Boiss.
Anthocleista squamata	Anthocleista squamata de	Anthocleista squamata de Wild.
Eremopyrum bonaepartis	Eremopyrum buonapartis	Eremopyrum buonapartis (Spreng.) Nevski, 1933
Setaria ustilata	Setaria ustilata de	Setaria ustilata de Wit
Arachis hypogaea	Arachis hypogea	Arachis hypogea L.
Maytenus guyanensis	Maytenus guianensis	Maytenus guianensis Klotzsch
Ardisia kusukusensis	Ardisia kusukuensis	Ardisia kusukuensis Hayata, 1915
Carex paleaceoides	Carex paleacoides	Carex ×paleacoides Lepage
Iva xanthiifolia	Iva xanthifolia	Iva xanthifolia Nutt.
Juncus lampocarpus	Juncus lamprocarpus	Juncus lamprocarpus Ehrh. ex Hoffm.
Juncus lampocarpus	Juncus lamprocarpus	Juncus lamprocarpus Ehrh.
Juncus lampocarpus	Juncus lamprocarpus	Juncus lamprocarpus Rchb., 1830
Pocilla hederifolia	Pocilla hederiifolia	Pocilla hederiifolia Fourr.
Pratia begonifolia	Pratia begoniifolia	Pratia begoniifolia G.Don, 1834
Scutellaria scordifolia	Scutellaria scordiifolia	Scutellaria scordiifolia Fisch. ex Schrank
Veronica nummulariifolia	Veronica nummulariaefolia	Veronica nummulariaefolia Gouan
Archangelica norwegica	Archangelica norvegica	Archangelica norvegica Rupr.
Chrysanthemum zawadskii	Chrysanthemum zawodskii	Chrysanthemum zawodskii
Themeda forskallii var. vulgaris	Themeda forskalii var. vulgaris	Themeda forskalii var. vulgaris (Hack.) Hack
Abildgaardia monostachya	Abildgaardia monostachyos	Abildgaardia monostachyos (L.) Vahl, 1806
Aegilops agropiroides	Aegilops agropyroides	Aegilops agropyroides Godr.
Allium purpurescens	Allium purpurascens	Allium purpurascens Losa
Alocasia macrorrhizos	Alocasia macrorhizus	Alocasia macrorhizus (L.) G.Don
Alocasia macrorrhizos	Alocasia macrorrhiza	Alocasia macrorrhiza (L.) Schott
Aristida purpurascens	Aristida purpurescens	Aristida purpurescens
Brachiaria eruciformis	Brachiaria erucaeformis	Brachiaria erucaeformis (Sm.) Griseb.
Bromus briziformis	Bromus brizaeformis	Bromus brizaeformis Fischer & C.Meyer
Canna warszewiczii	Canna warscewiczii	Canna warscewiczii Otto
Carya oliviformis	Carya olivaeformis	Carya olivaeformis (Marshall) Nutt
Colocasia macrorrhizos	Colocasia macrorhizus	Colocasia macrorhizus (L.) Schott
Erodium oxyrhinchum	Erodium oxyrrhynchum	Erodium oxyrrhynchum M.Bieb.
Fimbristylis monostachya	Fimbristylis monostachyos	Fimbristylis monostachyos (L.) Hassk., 1841
Grona heterocarpos	Grona heterocarpa	Grona heterocarpa (L.) H.Ohashi & K.Ohashi, 2018
Aconitum anthora subsp. nemorosum	Aconitum anthora subsp. memorosum	Aconitum anthora subsp. memorosum (Bieb. ex Reichenb.) Vorosch.
Thlaspi vogesiacum	Thlaspi vosgesiacum	Thlaspi vosgesiacum Jord., 1850
Aster coerulescens	Aster caerulescens	Aster caerulescens DC.
Inga prieurei	Inga prieurii	Inga prieurii Sagot
Juncus gussonei	Juncus gussonii	Juncus gussonii Parl.
Lathyrus festivus	Lathyrus festicus	Lathyrus festicus Sennen
Nuphar shimadai	Nuphar shimadae	Nuphar shimadae Hayata
Rhynchospora berteroi	Rhynchospora berterii	Rhynchospora berterii (Spreng.) C.B.Clarke, 1900
Rubia bocconei	Rubia bocconii	Rubia bocconii Petagna
Shibataea kumasaca	Shibataea kumasasa	Shibataea kumasasa (Zoll. ex Steud.) Makino
Tristania whitiana	Tristania whiteana	Tristania whiteana Griff.
Trichilia casarettoi var. microphyllina	Trichilia casaretti var. microphyllina	Trichilia casaretti var. microphyllina C.DC.
Medicago cupianiana	Medicago cupaniana	Medicago cupaniana Guss.
Potentilla fruticosa	Potentilla fruiticosa	Potentilla fruiticosa
Carya illinoinensis	Carya illinoensis	Carya illinoensis (Wangenh.) K.Koch
Achillea aspleniifolia	Achillea asplenifolia	Achillea asplenifolia Vent.
Fagus asplenifolia	Fagus aspleniifolia	Fagus aspleniifolia Dum.Cours.
Micranthes hieraciifolia	Micranthes hieracifolia	Micranthes hieracifolia (Waldst. & Kit.) Haw.
Myrica aspleniifolia	Myrica asplenifolia	Myrica asplenifolia L.
Saxifraga hieraciifolia	Saxifraga hieracifolia	Saxifraga hieracifolia Porter
Hieracium macrolepium	Hieracium maurolepium	Hieracium maurolepium Dahlst.
Erigeron khorossanicus	Erigeron khorassanicus	Erigeron khorassanicus Boiss.
Ficus tridactylita	Ficus tridactylites	Ficus tridactylites Gagnep.
Machaerina gahniaeformis	Machaerina gahniiformis	Machaerina gahniiformis (Gaudich.) J.Kern
Lemna trisulca	Lemna trisculca	Lemna trisculca
Poa bourgaei	Poa bourgeaei	Poa bourgeaei E.Fourn.
Echinops ritro	Echinops rito	Echinops rito L.
Conoclinium coelestinum	Conoclinium colelestinum	Conoclinium colelestinum (L) DC
Cassia pachycarpa	Cassia pachycarpa de	Cassia pachycarpa de Wit
Rosmarinus laxiflorus	Rosmarinus laxiflorus de	Rosmarinus laxiflorus de Noé
