dlist,elist,genus_jw,se_jw,gender_switch
Aa paleacea,Aa paleacea,1.0,1.0,False
Abarema macradenia,Abarema macradenia,1.0,1.0,False
Abarema jupunba,Abarema jupunba,1.0,1.0,False
Abatia mexicana,Abatia mexicana,1.0,1.0,False
Abatia boliviana,Abatia boliviana,1.0,1.0,False
Abatia spicata,Abatia spicata,1.0,1.0,False
Abatia parviflora,Abatia parviflora,1.0,1.0,False
Abatia verbascifolia,Abatia verbascifolia,1.0,1.0,False
Abatia stellata,Abatia stellata,1.0,1.0,False
Abatia canescens,Abatia canescens,1.0,1.0,False
Abdominea minimiflora,Abdominea minimiflora,1.0,1.0,False
Abelia coreana,Abelia coreana,1.0,1.0,False
Abelia triflora,Abelia triflora,1.0,1.0,False
Abelia rupestris,Abelia rupestris,1.0,1.0,False
Abelia biflora,Abelia biflora,1.0,1.0,False
Abelia chinensis,Abelia chinensis,1.0,1.0,False
Abelia mosanensis,Abelia mosanensis,1.0,1.0,False
Abelia spathulata,Abelia spathulata,1.0,1.0,False
Abeliophyllum distichum,Abeliophyllum distichum,1.0,1.0,False
Abies numidica,Abies numidica,1.0,1.0,False
Abies nephrolepis,Abies nephrolepis,1.0,1.0,False
Abies nordmanniana,Abies nordmanniana,1.0,1.0,False
Abies fraseri,Abies fraseri,1.0,1.0,False
Abies kawakamii,Abies kawakamii,1.0,1.0,False
Abies cilicica,Abies cilicica,1.0,1.0,False
Abies recurvata,Abies recurvata,1.0,1.0,False
Abies douglasii,Abies douglasii,1.0,1.0,False
Abies magnifica,Abies magnifica,1.0,1.0,False
Abies nebrodensis,Abies nebrodensis,1.0,1.0,False
Abies amabilis,Abies amabilis,1.0,1.0,False
Abies delavayi,Abies delavayi,1.0,1.0,False
Abies cephalonica,Abies cephalonica,1.0,1.0,False
Abies pinsapo,Abies pinsapo,1.0,1.0,False
Abies sibirica,Abies sibirica,1.0,1.0,False
Abies firma,Abies firma,1.0,1.0,False
Abies bracteata,Abies bracteata,1.0,1.0,False
Abies orientalis,Abies orientalis,1.0,1.0,False
Abies alba,Abies alba,1.0,1.0,False
Abies holophylla,Abies holophylla,1.0,1.0,False
Abies fargesii,Abies fargesii,1.0,1.0,False
Abies fabri,Abies fabri,1.0,1.0,False
Abies grandis,Abies grandis,1.0,1.0,False
Abies koreana,Abies koreana,1.0,1.0,False
Abies picea,Abies picea,1.0,1.0,False
Abies mariesii,Abies mariesii,1.0,1.0,False
Abies procera,Abies procera,1.0,1.0,False
Abies balsamea,Abies balsamea,1.0,1.0,False
Abies veitchii,Abies veitchii,1.0,1.0,False
Abies lowiana,Abies lowiana,1.0,1.0,False
Abies concolor,Abies concolor,1.0,1.0,False
Abies glehni,Abies glehnii,1.0,0.980952380952,False
Abies lasiocarpa,Abies lasiocarpa,1.0,1.0,False
Abies homolepis,Abies homolepis,1.0,1.0,False
Abobra tenuifolia,Abobra tenuifolia,1.0,1.0,False
Abobra viridiflora,Abobra viridiflora,1.0,1.0,False
Abolboda poarchon,Abolboda poarchon,1.0,1.0,False
Abroma augustum,Abroma augustum,1.0,1.0,False
Abronia fragrans,Abronia fragrans,1.0,1.0,False
Abronia umbellata,Abronia umbellata,1.0,1.0,False
Abronia bigelovii,Abronia bigelovii,1.0,1.0,False
Abronia glaucescens,Abronia glaucescens,1.0,1.0,False
Abronia carltonii,Abronia carletonii,1.0,0.98,False
Abronia villosa,Abronia villosa,1.0,1.0,False
Abronia nudata,Abronia nudata,1.0,1.0,False
Abronia ameliae,Abronia ameliae,1.0,1.0,False
Abronia turbinata,Abronia turbinata,1.0,1.0,False
Abronia texana,Abronia texana,1.0,1.0,False
Abrophyllum ornans,Abrophyllum ornans,1.0,1.0,False
Abrotanella linearis,Abrotanella linearis,1.0,1.0,False
Abrotanella emarginata,Abrotanella emarginata,1.0,1.0,False
Abrotanella forsterioides,Abrotanella forsteroides,1.0,0.983974358974,False
Abrotanella nivigena,Abrotanella nivigena,1.0,1.0,False
Abrus precatorius,Abrus precatorius,1.0,1.0,False
Abuta convexa,Abuta convexa,1.0,1.0,False
Abuta rufescens,Abuta rufescens,1.0,1.0,False
Abuta candollei,Abuta candollei,1.0,1.0,False
Abuta boliviana,Abuta boliviana,1.0,1.0,False
Abuta grandifolia,Abuta grandifolia,1.0,1.0,False
Abuta splendida,Abuta splendida,1.0,1.0,False
Abuta grisebachii,Abuta grisebachii,1.0,1.0,False
Abutilon pubescens,Abutilon pubescens,1.0,1.0,False
Abutilon leiospermum,Abutilon leiospermum,1.0,1.0,False
Abutilon weberbaueri,Abutilon weberbaueri,1.0,1.0,False
Abutilon indicum,Abutilon indicum,1.0,1.0,False
Abutilon grandifolium,Abutilon grandifolium,1.0,1.0,False
Abutilon mollissimum,Abutilon mollissimum,1.0,1.0,False
Abutilon theophrasti,Abutilon theophrasti,1.0,1.0,False
Abutilon oxycarpum,Abutilon oxycarpum,1.0,1.0,False
Abutilon sordidum,Abutilon sordidum,1.0,1.0,False
Abutilon menziesii,Abutilon menziesii,1.0,1.0,False
Abutilon albidum,Abutilon albidum,1.0,1.0,False
Abutilon molle,Abutilon molle,1.0,1.0,False
Abutilon incanum,Abutilon incanum,1.0,1.0,False
Abutilon grandiflorum,Abutilon grandiflorum,1.0,1.0,False
Abutilon populifolium,Abutilon populifolium,1.0,1.0,False
Abutilon gaumeri,Abutilon gaumeri,1.0,1.0,False
Abutilon asiaticum,Abutilon asiaticum,1.0,1.0,False
Abutilon mollicomum,Abutilon mollicomum,1.0,1.0,False
Abutilon malvifolium,Abutilon malvifolium,1.0,1.0,False
Abutilon tortuosum,Abutilon tortuosum,1.0,1.0,False
Acacia ramulosa,Acacia ramulosa,1.0,1.0,False
Acacia frigescens,Acacia frigescens,1.0,1.0,False
Acacia spinescens,Acacia spinescens,1.0,1.0,False
Acacia cincinnata,Acacia cincinnata,1.0,1.0,False
Acacia mollifolia,Acacia mollifolia,1.0,1.0,False
Acacia gerrardii,Acacia gerrardii,1.0,1.0,False
Acacia macrostachya,Acacia macrostachya,1.0,1.0,False
Acacia glaucocaesia,Acacia glaucocaesia,1.0,1.0,False
Acacia nigricans,Acacia nigricans,1.0,1.0,False
Acacia chundra,Acacia chundra,1.0,1.0,False
Acacia rigens,Acacia rigens,1.0,1.0,False
Acacia caffra,Acacia caffra,1.0,1.0,False
Acacia parvipinnula,Acacia parvipinnula,1.0,1.0,False
Acacia clausseni,Acacia claussenii,1.0,0.996666666667,False
Acacia alpina,Acacia alpina,1.0,1.0,False
Acacia heterophylla,Acacia heterophylla,1.0,1.0,False
Acacia picachensis,Acacia picachensis,1.0,1.0,False
Acacia subporosa,Acacia subporosa,1.0,1.0,False
Acacia mitchellii,Acacia mitchellii,1.0,1.0,False
Acacia flagelliformis,Acacia flagelliformis,1.0,1.0,False
Acacia pachycarpa,Acacia pachycarpa,1.0,1.0,False
Acacia citrinoviridis,Acacia citrinoviridis,1.0,1.0,False
Acacia obtusifolia,Acacia obtusifolia,1.0,1.0,False
Acacia kochii,Acacia hockii,1.0,0.944444444444,False
Acacia horrida,Acacia horrida,1.0,1.0,False
Acacia rostellifera,Acacia rostellifera,1.0,1.0,False
Acacia microbotrya,Acacia microbotrya,1.0,1.0,False
Acacia exuvialis,Acacia exuvialis,1.0,1.0,False
Acacia ataxacantha,Acacia ataxacantha,1.0,1.0,False
Acacia dimidiata,Acacia dimidiata,1.0,1.0,False
Acacia pubicosta,Acacia pubicosta,1.0,1.0,False
Acacia rhigiophylla,Acacia rhigiophylla,1.0,1.0,False
Acacia suaveolens,Acacia suaveolens,1.0,1.0,False
Acacia houstonii,Acacia houstoni,1.0,0.992592592593,False
Acacia decora,Acacia decora,1.0,1.0,False
Acacia hamulosa,Acacia hamulosa,1.0,1.0,False
Acacia leptopetala,Acacia leptopetala,1.0,1.0,False
Acacia murrayana,Acacia murrayana,1.0,1.0,False
Acacia spectabilis,Acacia spectabilis,1.0,1.0,False
Acacia cognata,Acacia cognata,1.0,1.0,False
Acacia horridula,Acacia horrida,1.0,0.97037037037,False
Acacia baileyana,Acacia baileyana,1.0,1.0,False
Acacia acradenia,Acacia acradenia,1.0,1.0,False
Acacia bivenosa,Acacia bivenosa,1.0,1.0,False
Acacia parramattensis,Acacia parramattensis,1.0,1.0,False
Acacia verticillata,Acacia verticillata,1.0,1.0,False
Acacia roemeriana,Acacia roemeriana,1.0,1.0,False
Acacia conniana,Acacia conniana,1.0,1.0,False
Acacia hockii,Acacia hockii,1.0,1.0,False
Acacia curranii,Acacia curranii,1.0,1.0,False
Acacia choriophylla,Acacia choriophylla,1.0,1.0,False
Acacia tenuifolia,Acacia tenuifolia,1.0,1.0,False
Acacia daviesioides,Acacia daviesioides,1.0,1.0,False
Acacia gaumeri,Acacia gaumeri,1.0,1.0,False
Acacia pyrifolia,Acacia pyrifolia,1.0,1.0,False
Acacia tortuosa,Acacia tortuosa,1.0,1.0,False
Acacia papyrocarpa,Acacia papyrocarpa,1.0,1.0,False
Acacia monticola,Acacia monticola,1.0,1.0,False
Acacia gladiiformis,Acacia gladiiformis,1.0,1.0,False
Acacia muelleriana,Acacia muelleriana,1.0,1.0,False
Acacia axillaris,Acacia axillaris,1.0,1.0,False
Acacia holosericea,Acacia holosericea,1.0,1.0,False
Acacia pentadenia,Acacia pentadenia,1.0,1.0,False
Acacia cardiophylla,Acacia cardiophylla,1.0,1.0,False
Acacia cyperophylla,Acacia cyperophylla,1.0,1.0,False
Acacia cochliacantha,Acacia cochliacantha,1.0,1.0,False
Acacia constricta,Acacia constricta,1.0,1.0,False
Acacia penninervis,Acacia penninervis,1.0,1.0,False
Acacia oswaldi,Acacia oswaldii,1.0,0.9875,False
Acacia haematoxylon,Acacia haematoxylon,1.0,1.0,False
Acacia phlebophylla,Acacia phlebophylla,1.0,1.0,False
