dlist,elist,genus_jw,se_jw,gender_switch
Aa paleacea,Aa paleacea,1.0,1.0,False
Abarema macradenia,Abarema macradenia,1.0,1.0,False
Abarema jupunba,Abarema jupunba,1.0,1.0,False
Abatia mexicana,Abatia mexicana,1.0,1.0,False
Abatia borealis,Abatia borealis,1.0,1.0,False
Abatia boliviana,Abatia boliviana,1.0,1.0,False
Abatia spicata,Abatia spicata,1.0,1.0,False
Abatia parviflora,Abatia parviflora,1.0,1.0,False
Abatia verbascifolia,Abatia verbascifolia,1.0,1.0,False
Abatia macrostachya,Abatia macrostachya,1.0,1.0,False
Abatia stellata,Abatia stellata,1.0,1.0,False
Abatia canescens,Abatia canescens,1.0,1.0,False
Abdominea minimiflora,Abdominea minimiflora,1.0,1.0,False
Abelia rupestris,Abelia rupestris,1.0,1.0,False
Abelia coreana,Abelia coreana,1.0,1.0,False
Abelia triflora,Abelia triflora,1.0,1.0,False
Abelia tetrasepala,Abelia tetrasepala,1.0,1.0,False
Abelia biflora,Abelia biflora,1.0,1.0,False
Abelia chinensis,Abelia chinensis,1.0,1.0,False
Abelia mosanensis,Abelia mosanensis,1.0,1.0,False
Abelia spathulata,Abelia spathulata,1.0,1.0,False
Abeliophyllum distichum,Abeliophyllum distichum,1.0,1.0,False
Abies alba,Abies alba,1.0,1.0,False
Abies numidica,Abies numidica,1.0,1.0,False
Abies nephrolepis,Abies nephrolepis,1.0,1.0,False
Abies fraseri,Abies fraseri,1.0,1.0,False
Abies kawakamii,Abies kawakamii,1.0,1.0,False
Abies cilicica,Abies cilicica,1.0,1.0,False
Abies ajanensis,Abies ajanensis,1.0,1.0,False
Abies douglasii,Abies douglasii,1.0,1.0,False
Abies brunoniana,Abies brunoniana,1.0,1.0,False
Abies magnifica,Abies magnifica,1.0,1.0,False
Abies nebrodensis,Abies nebrodensis,1.0,1.0,False
Abies amabilis,Abies amabilis,1.0,1.0,False
Abies delavayi,Abies delavayi,1.0,1.0,False
Abies cephalonica,Abies cephalonica,1.0,1.0,False
Abies pinsapo,Abies pinsapo,1.0,1.0,False
Abies densa,Abies densa,1.0,1.0,False
Abies sibirica,Abies sibirica,1.0,1.0,False
Abies recurvata,Abies recurvata,1.0,1.0,False
Abies bracteata,Abies bracteata,1.0,1.0,False
Abies pattoniana,Abies pattoniana,1.0,1.0,False
Abies orientalis,Abies orientalis,1.0,1.0,False
Abies mertensiana,Abies mertensiana,1.0,1.0,False
Abies borisii-regis,Abies borisii-regis,1.0,1.0,False
Abies sachalinensis,Abies sachalinensis,1.0,1.0,False
Abies khutrow,Abies khutrow,1.0,1.0,False
Abies holophylla,Abies holophylla,1.0,1.0,False
Abies minor,Abies minor,1.0,1.0,False
Abies fargesii,Abies fargesii,1.0,1.0,False
Abies dumosa,Abies dumosa,1.0,1.0,False
Abies fabri,Abies fabri,1.0,1.0,False
Abies baborensis,Abies baborensis,1.0,1.0,False
Abies larix,Abies larix,1.0,1.0,False
Abies grandis,Abies grandis,1.0,1.0,False
Abies ziyuanensis,Abies ziyuanensis,1.0,1.0,False
Abies picea,Abies picea,1.0,1.0,False
Abies mariesii,Abies mariesii,1.0,1.0,False
Abies procera,Abies procera,1.0,1.0,False
Abies nordmanniana,Abies nordmanniana,1.0,1.0,False
Abies firma,Abies firma,1.0,1.0,False
Abies balsamea,Abies balsamea,1.0,1.0,False
Abies veitchii,Abies veitchii,1.0,1.0,False
Abies smithiana,Abies smithiana,1.0,1.0,False
Abies lowiana,Abies lowiana,1.0,1.0,False
Abies koreana,Abies koreana,1.0,1.0,False
Abies concolor,Abies concolor,1.0,1.0,False
Abies spectabilis,Abies spectabilis,1.0,1.0,False
Abies fanjingshanensis,Abies fanjingshanensis,1.0,1.0,False
Abies glehni,Abies glehnii,1.0,0.980952380952,True
Abies lasiocarpa,Abies lasiocarpa,1.0,1.0,False
Abies homolepis,Abies homolepis,1.0,1.0,False
Abobra tenuifolia,Abobra tenuifolia,1.0,1.0,False
Abobra viridiflora,Abobra viridiflora,1.0,1.0,False
Abolboda poarchon,Abolboda poarchon,1.0,1.0,False
Abolboda pulchella,Abolboda pulchella,1.0,1.0,False
Abrodictyum rigidum,Abrodictyum rigidum,1.0,1.0,False
Abroma augustum,Abroma augustum,1.0,1.0,False
Abronia carletoni,Abronia carletonii,1.0,0.996666666667,True
Abronia umbellata,Abronia umbellata,1.0,1.0,False
Abronia fragrans,Abronia fragrans,1.0,1.0,False
Abronia glabrifolia,Abronia glabrifolia,1.0,1.0,False
Abronia texana,Abronia texana,1.0,1.0,False
Abronia lanceolata,Abronia lanceolata,1.0,1.0,False
Abronia bigelovii,Abronia bigelovii,1.0,1.0,False
Abronia glaucescens,Abronia glaucescens,1.0,1.0,False
Abronia mellifera,Abronia mellifera,1.0,1.0,False
Abronia villosa,Abronia villosa,1.0,1.0,False
Abronia gracilis,Abronia gracilis,1.0,1.0,False
Abronia nudata,Abronia nudata,1.0,1.0,False
Abronia robusta,Abronia robusta,1.0,1.0,False
Abronia ameliae,Abronia ameliae,1.0,1.0,False
Abronia carltonii,Abronia carletonii,1.0,0.98,False
Abronia elliptica,Abronia elliptica,1.0,1.0,False
Abronia glabra,Abronia glabra,1.0,1.0,False
Abronia bakeri,Abronia bakeri,1.0,1.0,False
Abronia fallax,Abronia fallax,1.0,1.0,False
Abronia suksdorfii,Abronia suksdorfii,1.0,1.0,False
Abronia sparsifolia,Abronia sparsifolia,1.0,1.0,False
Abronia turbinata,Abronia turbinata,1.0,1.0,False
Abrophyllum microcarpum,Abrophyllum microcarpum,1.0,1.0,False
Abrophyllum ornans,Abrophyllum ornans,1.0,1.0,False
Abrotanella linearis,Abrotanella linearis,1.0,1.0,False
Abrotanella forsteroides,Abrotanella forsteroides,1.0,1.0,False
Abrotanella inconspicua,Abrotanella inconspicua,1.0,1.0,False
Abrotanella forsterioides,Abrotanella forsteroides,1.0,0.983974358974,False
Abrotanella nivigena,Abrotanella nivigena,1.0,1.0,False
Abrotanella emarginata,Abrotanella emarginata,1.0,1.0,False
Abrus madagascariensis,Abrus madagascariensis,1.0,1.0,False
Abrus precatorius,Abrus precatorius,1.0,1.0,False
Abrus fruticulosus,Abrus fruticulosus,1.0,1.0,False
Abrus pulchellus,Abrus pulchellus,1.0,1.0,False
Abryanthemum edule,Abryanthemum edule,1.0,1.0,False
Abuta oblonga,Abuta oblonga,1.0,1.0,False
Abuta convexa,Abuta convexa,1.0,1.0,False
Abuta wilson-brownei,Abuta wilson-brownei,1.0,1.0,False
Abuta rufescens,Abuta rufescens,1.0,1.0,False
Abuta limaciifolia,Abuta limaciifolia,1.0,1.0,False
Abuta candollei,Abuta candollei,1.0,1.0,False
Abuta manausensis,Abuta manausensis,1.0,1.0,False
Abuta boliviana,Abuta boliviana,1.0,1.0,False
Abuta grandifolia,Abuta grandifolia,1.0,1.0,False
Abuta splendida,Abuta splendida,1.0,1.0,False
Abuta guianensis,Abuta guianensis,1.0,1.0,False
Abuta grisebachii,Abuta grisebachii,1.0,1.0,False
Abuta candicans,Abuta candicans,1.0,1.0,False
Abutilodes carolinianum,Abutilodes carolinianum,1.0,1.0,False
Abutilon malviflorum,Abutilon malvifolium,1.0,0.962424242424,False
Abutilon leiospermum,Abutilon leiospermum,1.0,1.0,False
Abutilon cunninghamii,Abutilon cunninghamii,1.0,1.0,False
Abutilon albidum,Abutilon albidum,1.0,1.0,False
Abutilon gaumeri,Abutilon gaumeri,1.0,1.0,False
Abutilon graveolens,Abutilon graveolens,1.0,1.0,False
Abutilon subpapyraceum,Abutilon subpapyraceum,1.0,1.0,False
Abutilon mollicomum,Abutilon mollicomum,1.0,1.0,False
Abutilon tiliifolium,Abutilon tiliifolium,1.0,1.0,False
Abutilon menziesii,Abutilon menziesii,1.0,1.0,False
Abutilon microcarpum,Abutilon microcarpum,1.0,1.0,False
Abutilon hirtum,Abutilon hirtum,1.0,1.0,False
Abutilon pubescens,Abutilon pubescens,1.0,1.0,False
Abutilon molle,Abutilon molle,1.0,1.0,False
Abutilon mochisense,Abutilon mochisense,1.0,1.0,False
Abutilon populifolium,Abutilon populifolium,1.0,1.0,False
Abutilon lugardii,Abutilon lugardii,1.0,1.0,False
Abutilon tortuosum,Abutilon tortuosum,1.0,1.0,False
Abutilon indicum,Abutilon indicum,1.0,1.0,False
Abutilon theophrasti,Abutilon theophrasti,1.0,1.0,False
Abutilon oxycarpum,Abutilon oxycarpum,1.0,1.0,False
Abutilon kotschyi,Abutilon kotschyi,1.0,1.0,False
Abutilon grandiflorum,Abutilon grandiflorum,1.0,1.0,False
Abutilon sordidum,Abutilon sordidum,1.0,1.0,False
Abutilon weberbaueri,Abutilon weberbaueri,1.0,1.0,False
Abutilon mollissimum,Abutilon mollissimum,1.0,1.0,False
Abutilon incanum,Abutilon incanum,1.0,1.0,False
Abutilon grandifolium,Abutilon grandifolium,1.0,1.0,False
Abutilon asiaticum,Abutilon asiaticum,1.0,1.0,False
Abutilon bidentatum,Abutilon bidentatum,1.0,1.0,False
Abutilon album,Abutilon album,1.0,1.0,False
Abutilon malvifolium,Abutilon malvifolium,1.0,1.0,False
Abutilon heterotrichum,Abutilon heterotrichum,1.0,1.0,False
Acacia clausseni,Acacia claussenii,1.0,0.996666666667,True
Acacia alpina,Acacia alpina,1.0,1.0,False
Acacia subporosa,Acacia subporosa,1.0,1.0,False
Acacia flagelliformis,Acacia flagelliformis,1.0,1.0,False
Acacia cowellii,Acacia cowellii,1.0,1.0,False
Acacia floribunda,Acacia floribunda,1.0,1.0,False
Acacia rostellifera,Acacia rostellifera,1.0,1.0,False
Acacia hamulosa,Acacia hamulosa,1.0,1.0,False
Acacia pickardii,Acacia pickardii,1.0,1.0,False
Acacia grayana,Acacia grayana,1.0,1.0,False
Acacia parramattensis,Acacia parramattensis,1.0,1.0,False
