dlist,elist,genus_jw,se_jw,gender_switch
Abies smithiana,Abies smithiana,1.0,1.0,False
Abies mertensiana,Abies mertensiana,1.0,1.0,False
Abies pattoniana,Abies pattoniana,1.0,1.0,False
Abutilon tiliifolium,Abutilon tiliifolium,1.0,1.0,False
Abutilon subpapyraceum,Abutilon subpapyraceum,1.0,1.0,False
Acacia trinervia,Acacia trinervata,1.0,0.968888888889,False
Acacia insularis,Acacia insularum,1.0,0.955555555556,False
Acacia douglasica,Acacia douglasii,1.0,0.979259259259,False
Acer lobatum,Acer lobatum,1.0,1.0,False
Achyranthes styracifolia,Achyranthes styracifolia,1.0,1.0,False
Aconitum ovatum,Aconitum ovatum,1.0,1.0,False
Aconitum galectonum,Aconitum galectonum,1.0,1.0,False
Actinostemma japonicum,Actinostemma japonicum,1.0,1.0,False
Aegialinites annulata,Aegialinites annulatus,1.0,0.965277777778,True
Aglaia ferruginea,Aglaia ferruginea,1.0,1.0,False
Aglaia grata,Aglaia grata,1.0,1.0,False
Aglaia maingayi,Aglaia maingayi,1.0,1.0,False
Ajuga candolleana,Ajuga candolleana,1.0,1.0,False
Allium spurium,Allium spurium,1.0,1.0,False
Allium pugeti,Allium pugetii,1.0,0.980952380952,True
Alsine marginata,Alsine marginata,1.0,1.0,False
Alsomitra muelleri,Alsomitra muelleri,1.0,1.0,False
Alsomitra trifoliolata,Alsomitra trifoliolata,1.0,1.0,False
Alyxia sharpei,Alyxia sharpei,1.0,1.0,False
Amaranthus bullatus,Amaranthus bullatus,1.0,1.0,False
Amaranthus mucronatus,Amaranthus mucronatus,1.0,1.0,False
Amaranthus cararu,Amaranthus cararu,1.0,1.0,False
Amoora nitidula,Amoora nitidula,1.0,1.0,False
Amoora grandifolia,Amoora grandifolia,1.0,1.0,False
Amoora gigantea,Amoora gigantea,1.0,1.0,False
Amorphophallus beccarii,Amorphophallus beccarii,1.0,1.0,False
Amorphophallus canaliculatus,Amorphophallus canaliculatus,1.0,1.0,False
Amorphophallus konkanensis,Amorphophallus konkanensis,1.0,1.0,False
Anagallis ruandensis,Anagallis ruandensis,1.0,1.0,False
Anaphrenium mucronatum,Anaphrenium mucronatum,1.0,1.0,False
Anchusa lycopsidis,Anchusa lycopsidis,1.0,1.0,False
