"gbif","tank","genus_jw","se_jw","gswitch","bothtpl","suspect","remove","manual.remove"
"Aa paleacea","Aa paleacea",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Abarema jupunba","Abarema jupunba",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Abarema macradenia","Abarema macradenia",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Abatia canescens","Abatia canescens",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Abatia mexicana","Abatia mexicana",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Abatia parviflora","Abatia parviflora",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Abatia spicata","Abatia spicata",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Abatia stellata","Abatia stellata",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Abdominea minimiflora","Abdominea minimiflora",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Abeliophyllum distichum","Abeliophyllum distichum",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Abies alba","Abies alba",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Abies amabilis","Abies amabilis",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Abies balsamea","Abies balsamea",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Abies beshanzuensis","Abies beshanzuensis",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Abies bifolia","Abies bifolia",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Abies borisii-regis","Abies borisii-regis",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Abies bracteata","Abies bracteata",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Abies cephalonica","Abies cephalonica",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Abies cilicica","Abies cilicica",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Abies concolor","Abies concolor",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Abies delavayi","Abies delavayi",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Abies densa","Abies densa",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Abies fabri","Abies fabri",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Abies fanjingshanensis","Abies fanjingshanensis",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Abies fargesii","Abies fargesii",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Abies firma","Abies firma",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Abies fraseri","Abies fraseri",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Abies grandis","Abies grandis",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Abies holophylla","Abies holophylla",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Abies homolepis","Abies homolepis",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Abies kawakamii","Abies kawakamii",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Abies koreana","Abies koreana",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Abies lasiocarpa","Abies lasiocarpa",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Abies lowiana","Abies lowiana",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Abies magnifica","Abies magnifica",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Abies mariesii","Abies mariesii",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Abies morinda","Abies morinda",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Abies nebrodensis","Abies nebrodensis",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Abies nephrolepis","Abies nephrolepis",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Abies nordmanniana","Abies nordmanniana",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Abies numidica","Abies numidica",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Abies pinsapo","Abies pinsapo",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Abies procera","Abies procera",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Abies recurvata","Abies recurvata",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Abies sachalinensis","Abies sachalinensis",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Abies sibirica","Abies sibirica",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Abies spectabilis","Abies spectabilis",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Abies subalpina","Abies subalpina",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Abies veitchii","Abies veitchii",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Abies yuanbaoshanensis","Abies yuanbaoshanensis",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Abies ziyuanensis","Abies ziyuanensis",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Abobra tenuifolia","Abobra tenuifolia",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Abolboda poarchon","Abolboda poarchon",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Abolboda pulchella","Abolboda pulchella",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Abrahamia ditimena","Abrahamia ditimena",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Abrahamia sericea","Abrahamia sericea",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Abrodictyum rigidum","Abrodictyum rigidum",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Abroma augustum","Abroma augustum",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Abronia ameliae","Abronia ameliae",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Abronia bigelovii","Abronia bigelovii",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Abronia carletonii","Abronia carletonii",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Abronia elliptica","Abronia elliptica",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Abronia fallax","Abronia fallax",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Abronia fragrans","Abronia fragrans",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Abronia glaucescens","Abronia glaucescens",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Abronia gracilis","Abronia gracilis",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Abronia mellifera","Abronia mellifera",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Abronia turbinata","Abronia turbinata",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Abronia umbellata","Abronia umbellata",1,1,"False",FALSE,FALSE,FALSE,FALSE
"Abronia villosa","Abronia villosa",1,1,"False",FALSE,FALSE,FALSE,FALSE
