Veronicella urticifolia
Silene ehrhartiana
Arundo piscatoria
Enchylaena pubescens
Elymus racemosus
Sasa smectica
Xolanthes guttatus
Paris quadrifolia
Festuca phalarioides
Schedonorus transparens
Disecocarpus polygamus
Ferocactus flavovirens
Aster argutus
Ceropegia schoenlandii
Opulaster stellatus
Aspidistra elatior
Oxyacantha elegans
Sitanion caespitosum
Festuca flava
Aster interior
Afzelia borneensis
Prospero pulchellum
Alchemilla nigricans
Iris pratensis
Aira curta
Poa articulata
Salix oppositifolia
Andropogon rubens
Taraxacum procumbens
Phyllanthus leprocarpus
Apeiba hispida
Agrostis violacea
Veronica austriaca
Atropa digitaloides
Festuca juncifolia
Potentilla benitzkii
Ballota nigra
Spirillus perfoliatus
Quercus obtusifolia
Stachys japonica
Carex caryophyllata
Scirpus fuscus
Juncellus michelianus
Primula groenlandica
Bondtia graciliflora
Cyperus aphyllus
Salvia praecox
Mariscus ferax
Fimbristylis junciformis
Cenchrus longisetus
Cerastium dolosum
Galeopsis bifida
Manochlaenia grisea
Prunus lanata
Festuca brizoides
Acroptilon australe
Zoysia serrulata
Chelidonium olidum
Byrsonima stipulacea
Lobelia angulata
Adonis flava
Sedum argutum
Bursera lonchophylla
Chenopodium benghalense
Ochroma limonensis
Prunella microphylla
Campanula minor
Catalpa ovata
Echinospermum marginatum
Phragmites barbatus
Anatherum glabrum
Potamogeton richardsonii
Salix coaetanea
Vignea lucorum
Betula littelliana
Euphorbia degenerata
Xanthium japonicum
Euphorbia inflexa
Lavandula tomentosa
Rubus baenitzii
Phragmites breviglumis
Salix kassanogluensis
Dactylodes dactyloides
Peutalis incana
Euphorbia rubicunda
Coronilla balansae
Beilschmiedia pendula
Bidens pumila
Bromus wolgensis
Quercus pilosula
Cenchrus quinquevalvis
Solidago microphylla
Boerhavia suberosa
Arundo sylvatica
Galium minutum
Turritis ciliata
Sponia guineensis
Laserpitium trilobum
Iris polakii
Allium stellerianum
Trifolium pseudoprocumbens
Achillea crispa
Clermontia clermontioides
Nectandra standleyi
Pycreus potosiensis
Pneumonanthe media
Acetosella vulgaris
Schedonorus montanus
Cochlearia hastata
Pentaphyllon lupinaster
Dendrocalamus strictus
Cydonia lagenaria
Porrum fistulosum
Batrachium truncatum
Rhynchospora globosa
Setaria flabellata
Chondrosea flexipes
Eragrostis pogonia
Serratula depressa
Euphorbia octoradiata
Campanula cernua
Caricinella rupestris
Pennisetum erythraeum
Cardamine wightiana
Cytisus nigricans
Hemerocallis crocea
Draco clusii
Agropyron pauciflorum
Hieracium pardalinum
Thesium serratum
Linum pseudoelegans
Cineraria microrhiza
Pennisetum rufescens
Delphinium monophyllum
Polygala angustifolia
Eutriana lagascae
Satureja granatensis
Laggera crispata
Leopoldia graeca
Solanum lapazense
Distichlis hirsuta
Croton urucurana
Valeriana spryginii
Opuntia stricta
Quercus montserratensis
Matricaria tzvelevii
Fedia olitaria
Dalbergia ovata
Catostemma fragrans
Carex sukaczovii
Capsella helsingica
Cyperus commutatus
Sesbania formosa
Oncostylis ciliata
Cistus inconspicuus
Polypogon semiverticillatus
Cicer arientinum
Geranium palustre
Pentaclethra filamentosa
Rumex hippolapathum
Oxalis villosa
Eragrostis cilianensis
Bromopsis ubsunurica
Fragaria abnormis
Cardamine libertiana
Mutisia retusa
Scorzonella maxima
Tulipa grengiolensis
Salix reticulata
Cenchrus paniceus
Scirpus albovittatus
Andropogon decolorans
Monanthium uniflorum
Diplachne squarrosa
Microcerasus glandulosa
Cymbopogon jinshaensis
Carex richardii
Elymus brachypodioides
Sitanion marginatum
Aster bifrons
Gentiana monantha
Potentilla anomala
Ceiba thonnerii
Allium niveum
Lemna vulgaris
Tofieldia collina
Ocotea martiniana
Stipa crassiculmis
Nectarobothrium striatum
Clinopodium variegatum
Helicophyllum crassifolium
Carex maxima
Calchas acuminatus
Cacalia gracilis
Pessularia ramosa
Pinus roezlii
Caltha grosseserrata
Euonymus forbesii
Hedera donerailensis
Salix fullertonensis
Platanus laciniata
Heuffelia pratensis
Cyperus cyperoides
Tanacetum maximum
Verbena sarmentosa
Crocus recurvus
Salix thomasiana
Cassia richardiana
Delphinium alpinum
Leptasea hirculus
Caucalis divaricata
Alocasia rapiformis
Glechoma cataria
Euthamia graminifolia
Gelseminum avellanedae
Avena unilateralis
Campanula decloetiana
Cirsium subalatum
Hibiscus purpurascens
Blainvillea hispida
Papaver steindorssonianum
Quercus sauteri
Cassia greenei
Bidens abyssinica
Selinum bulbosum
Conyza crispa
Aegilemma kotschyi
Elytrigia canina
Borreria roxburghiana
Capsella tenerescens
Gypsophila sabauda
Edritria paludosa
Polypogon paniceus
Triticum pruinosum
Nepeta sanabrensis
Beckmannia hirsutiflora
Mentha rigens
Acetosa olitoria
Nicotiana capensis
Abietia douglasii
Secale pungens
Lotus carpetanus
Sigesbeckia humilis
Epilobium domingense
Thymus stenophyllus
Veronica pulchella
Pinus densiflora
Tephroseris tundricola
Teucrium purpurascens
Lamium sempervirens
Schoenus hemisphaericus
Melanthesa neocaledonica
Schismus hirsutus
Galium patzkeanum
Poranthera nutans
Muscari vinyalsii
Haloxylon ammodendron
Vouapa suaveolens
Poa seslerioides
Leuce canescens
Osmia odorata
Saxifraga aizoidea
Cnicus grumosus
Lobelia parvifolia
Cyperus erythrorhizus
Carex erythrolepis
Colchicum tenorei
Andropogon bladhii
Alnus katoana
Euphorbia globulifera
Alchemilla minor
Salix rhodanii
Bidens lonchophylla
Deutzia kongoa
Potentilla tomasiniana
Leontodon lividus
Bupleurum coloratum
Asclepias capitellata
Stipa cerariorum
Bouteloua major
Epilobium capense
Indigofera sumatrana
Fraxinus lingelsheimii
Caladium lowii
Calamagrostis rubella
Chaetaria adscensionis
Elytrigia maritima
Lenticula cyclostasa
Armoracia rusticana
Trichodium hybridum
Sabina barbadensis
Iberis resedifolia
Taraxacum gibbiferum
Veronica dubia
Chamaecerasus xylosteum
Salix elegans
Mucuna luzoniensis
Vilfa geniculata
Crassula cotyledon
Phragmites australis
Knesebeckia incarnata
Anthistiria paleacea
Trifolium canescens
Saxifraga aizoides
Agrostis wildtii
Lactuca dubia
Artemisia saxatilis
Sinapis adpressa
Acmena resa
Chenopodium laciniatum
Saussurea macrophylla
Coix pendula
Cynosurus crista-galli
Pandanus prismaticus
Aristida laevis
Calamagrostis colorata
Cynanchum carnosum
Euphrasia stricta
Allium margaritaceum
Puccinellia sclerodes
Pyxipoma polyandrum
Clematis alsomitrifolia
Senecio pyroglossus
Agrostis matrella
Galinsoga aristulata
Viola austroussuriensis
Trachypogon densus
Agrostis gracilis
Sagina reuteri
Fumaria angustifolia
Eugenia tsoi
Schoenus marginatus
Carex persoonii
Callistemma chinensis
Eleusine dagussa
Cymbalaria alpina
Cerastium corsicum
Anemone alaschanica
Bunium majus
Apocynum arenarium
Hieracium leucocephalum
Plectranthus ternatus
Eschscholzia recta
Galium tenellum
Artemisia microcephala
Narcissus munozii-garmendiae
Solidago lanceolata
Atriplex muelleri
Lupinus amplus
Phegopyrum esculentum
Tupistra esquirolii
Telmatophace gibba
Saccharum densum
Rosa adjecta
Cyrtoxiphus staudtii
Minquartia guianensis
Leucaena pseudotrichodes
Couratari pulchra
Musa minor
Quercus obtenta
Narthecium anthericoides
Cucurbita grisea
Armeria rigida
Erigeron unalaschkensis
Taxus florinii
Euonymus elmeri
Acaena depauperata
Atriplex multicolora
Tristemon fulvum
Spiraea rosea
Salmasia praecox
Populus oxyodonta
Silene nutans
Rhizobolus souari
Impatiens fulva
Convallaria majalis
Aira grandiflora
Cassia aspera
Festuca wagneri
Avena airoides
Cynanchum thesioides
Succisa praemorsa
Leandra dasytricha
Daucus carota
Bursa djurdjurae
Agrostis sabulicola
Pinus divaricata
Juglans illinoinensis
Cocculus ferrandianus
Helenium aestivale
Berberis cuneata
Andropogon hirtiflorus
Aralia canescens
Ferula nuda
Kyllinga oligostachya
Alnus argentata
Airopsis laevis
Anacampseros lugdunensis
Ceratophyllum polyacanthum
Mespilus maura
Petalostemon stanfieldii
Milicia excelsa
Ilex ciliata
Populus salicifolia
Relbunium hypocarpium
Dolichos unguiculata
Baccharis eupatorioides
Gutierrezia greenei
Spiraea bumalda
Cedrela macrocarpa
Vilfa hybrida
Amerimnon championii
Potentilla saximontana
Holcus durra
Lonicera brevisepala
Dolichos albus
Esula riparia
Serpyllum citriodora
Parkinsonia thornberi
Dactylis nemorosa
Rhynchospora perrigida
Epilobium nesophilum
Mentha nummularia
Aegilops platyathera
Aronia latifolia
Poa schoenites
Amaranthus incomptus
Chrysanthemum corymbosum
Euphorbia mollis
Cardamine orophila
Muscari heldreichii
Andropogon besseri
Masakia radicans
Tussilago spuria
Matthiola nudicaulis
Salix gryonensis
Iriha schoenoides
Cassia glandulosa
Antennaria rubicunda
Crocus vittatus
Agrostis kudoi
Colchicum turcicum
Carum podagraria
Eragrostis geyeri
Androsace acutifolia
Rauvolfia verticillata
Picea viminalis
Sideritis riklii
Zostera hornemannii
Potentilla elongata
Botrycarpum obtusilobum
Stipa mediterranea
Campanula pulchella
Hyoseris tenella
Xanthium cuneatum
Saxifraga camarae
Clematis leiocarpa
Pachylepis cupressoides
Capsella turoniensis
Ammonalia peploides
Myrtus belgica
Tephrosia maxima
Swida candidissima
Canna aureovittata
Cheiranthus viridis
Lonicera germanica
Neckeria lutea
Trisetum lobatum
Anisantha sterilis
Arum peregrinum
Quercus glareosa
Luzula parviflora
Chamaesyce cordata
Eutrema edwardsii
Rhynchelytrum repens
Epilobium simplex
Centaurea hastata
Artemisia ohotensis
Bromus parvispiculatus
Baptisia caerulea
Bignonia tomentosa
Koeleria macrantha
Zamia atropurpurea
Aalius retroversa
Pandanus tahitensis
Crotalaria ferestrata
Cyperus texensis
Salix lithuanica
Festuca elatior
Eucalyptus baeuerlenii
Quercus atrovirens
Menispermum trilobum
Phleum villosum
Sesamum occidentalis
Nageia spicata
Crepis burejensis
Zoysia tenuifolia
Cyperus nortonii
Stipa tortilis
Aconitum bulbiferum
Schizolepis rufescens
Lotus komarovii
Agave subtilis
Acetosa rugosa
Capsella perconcava
Geranium erianthum
Saxifraga radiata
Salix splendens
Aconitum album
Fragaria stipularis
Botryanthus lelievrii
Myrrhis scabra
Carduus uniflorus
Carex cantabrorum
Artemisia sosnovskyi
Potentilla tetraphylla
Ditaxis sericophylla
Raphanistrum innocuum
Koeleria albovii
Hicoria pallida
Geranium camaense
Agave lehmannii
Asparagus tauscheri
Alchemilla micans
Campanula amygdalifolia
Quercus pseudosessilis
Allium littoreum
Mentha acutata
Aira atrovirens
Kyllinga viridiflora
Verinea fistulosa
Festuca malzevii
Solanum ganchouenense
Agropyron lavrenkoanum
Quercus vukotinocicii
Alopecurus obscurus
Cabralea oblongifoliola
Hyacinthus comosus
Tripsacum compressum
Byrsonima longibracteata
Crataegus pseudokyrtostyla
Saponaria hispanica
Cymbopogon dichroos
Biscutella cuneata
Brahea serrulata
Thalictrum foetidum
Trachydium acaule
Scirpus ardea
Euphorbia biglandulosa
Pedicularis langsdorffii
Betula yoshimurae
Necalistis aspera
Aspidosperma dugandii
Luzula subcongesta
Arthrophytum persicum
Campanula consanguinea
Athamanta collina
Glycine umbellata
Pneumonanthe gelida
Populus acladesca
Draconia dracunculus
Fagus sieboldii
Carex laxiflora
Sabulina caespitosa
Artemisia pachystachya
Triticum trunciale
Christophoriana spicata
Euphorbia dissimilis
Theobroma leiocarpum
Trasus pauciflorus
Carex buxbaumii
Carex praestans
Jambolifera rezinosa
Ranunculus nivalis
Alchemilla cleistophylla
Echinodorus punctatus
Arum triphyllum
Lamium hyrcanicum
Artemisia seriphium
Thecanisia discolor
Carex fridrichsthaliana
Gentiana ledebourii
Chenopodium striatiforme
Artemisia argentata
Tofieldia capitata
Fedia paniculata
Gentiana acuta
Vicia antiqua
Eragrostis jeffreysii
Quercus pileata
Elymus longifolius
Poa bromoides
Xiphagrostis condensatus
Salix albovirens
Chamaecrista multipinnata
Aira vivipara
Cyperus melanospermus
Agrostis ericetorum
Crassocephalum sonchifolium
Centaurium meyeri
Achillea pacifica
Porrum scorodoprasum
Smilax intricatissima
Platanus lindeniana
Andropogon spicatus
Agrostis pungens
Amphilophis odorata
Salix rufescens
Bernoullia rivalis
Fimbristylis kagiensis
Canna rubra
Diemisa filiformis
Caprifolium dumetorum
Tillaea chiloensis
Turritis rigida
Triticum rottboellioides
Sarcocephalus badi
Clematis orientalis
Platanaria natans
Atropis permixta
Wierzbickia macrocarpa
Ribesium rubrum
Daucus communis
Clematis revoluta
Carex acutissima
Rhaponticum repens
Eupatorium salviifolium
Cucumis dudaim
Rhynchosia hockii
Galium quitense
Acer treleaseanum
Fragaria michauxiana
Alchemilla palmatifida
Sclarea decidua
Luzula abyssinica
Arabis camtschatica
Ophioxylon zeylanicum
Picris afghanica
Alectoroctonum sanguineum
Avena americana
Delphinium villosum
Pinus erzeroomica
Buxus variegata
Cycas riuminiana
Dianthus cretaceus
Juglans squamosa
Amaranthus hierichuntinus
Panicum heupueo
Cordia excelsa
Vilfa elegans
Galium minimum
Carex myosuroides
Cyperus canescens
Allium ledebourianum
Pycnanthemum virginianum
Deyeuxia scabra
Digitaria caespitosa
Achillea sylvatica
Hieracium altaicum
Poa subcompressa
Stenocalyx dasyblastus
Salix libanii
Jalapa dichotoma
Drymochloa lasto
Mariscus dubius
Ranunculus quelpaertensis
Cerastium thomasii
Knautia ciliata
Narcissus grandiflorus
Arnica petiolata
Hypericum subpetiolatum
Senecio succisifolius
Stipa clelandii
Veronica euxina
Majana scutellariodes
Antennaria rhodantha
Rorippa hispida
Avena ruprechtii
Euacer quinquelobatum
Sorghastrum linnaeanum
Lilium hirsutum
Bromus preslii
Colchicum texedense
Bromus danthoniae
Osculisa acuta
Scutellaria sedelmeyerae
Piper xanthoneurum
Helichrysum serotinum
Brassica amblyphylla
Chenopodium obovatum
Sonchus tataricus
Citrus limon
Pterotheca nemausensis
Coffea canephora
Panicum colonum
Salix gooddingii
Phyteuma pseudorbiculare
Zea erythrolepis
Digitaria barbulata
Panicum unciphyllum
Cecropia macranthera
Euphorbia minxianensis
Ixophorus italicus
Primula sinolisteri
Brassica willdenovii
Alchemilla intermedia
Nummularia centimorbia
Crataegus stankovii
Juncus viviparus
Taraxacum promptum
Hypargyrium tenuilobum
Calycomelia biltmoreana
Carex elytroides
Adenanthera polita
Cabralea rojasii
Salvia subscaposa
Streptocaulon cochinchinense
Fraxinus oregona
Satureja altaica
Sclerochloa distans
Chondrilla glomerata
Epilobium affine
Carex emarginata
Schizolobium excelsum
Catabrosa balansae
Rubus triflorus
Microstegium cantonense
Cirsium chatenieri
Samara saligna
Trichilia warmingii
Bellis hortensis
Schizolobium kellermanii
Datura fastuosa
Pachycereus titan
Elymus repens
Impatiens arcuata
Cupressus doniana
Leptospermum blumei
Jacaranda mimosifolia
Gossypium janiphifolium
Isolepis anceps
Sanguisorba longifolia
Anisophyllum peplis
Erysimum orientale
Rubus itoensis
Lepigonum heterospermum
Centaurea affinis
Eragrostis niwahokori
Veronica arguteserrata
Corydalis alpestris
Limniris versicolor
Hordeum irregulare
Ammophila arundinaceae
Gladiolus segetum
Tekelia spinosa
Allium boryanum
Piper saururoides
Bromus racemosus
Erysimum ibericum
Castilleja lithospermoides
Fragaria pinnatifida
Magnolia pensylvanica
Syntherisma tenuispica
Cornus microcarpa
Irvingia caerulea
Allium persicum
Gratiola heterophylla
Scorodosma soongorica
Erigeron angulosus
Hieracium devoldii
Lomatogonium tenellum
Calotropis gigantea
Gentiana tetragona
Endogona ramosa
Uapaca laurentii
Poa djurdjurae
Phyteuma longifolium
Rhinanthus pulcher
Alopecurus exaltatus
Matricaria morifolia
Lespedeza thunbergii
Elymus nitidus
Agropyron orientale
Mnemion segetale
Fraxinus aurea
Panicum rottleri
Isatis indigotica
Pyrus communis
Obione tetraptera
Ulex hibernicus
Festuca numidica
Mnemion variatum
Leontodon contortus
Rubus dalmaticus
Olotrema gebhardii
Vicia macrophylla
Echinochloa erecta
Saccharum occidentale
Aralia laetevirens
Caricina brizoidea
Cyperus cooperi
Selinum lactescens
Ericala aestiva
Potentilla aurea
Trachynia rigida
Gentiana tenuis
Arum neglectum
Panicum havardii
Alopecurus caudatus
Oxytropis mertensiana
Hierochloe monstruosa
Chamaemelum segetum
Lythrum intermedium
Festuca trichophylla
Spergula imbricata
Pinus insignis
Koeleria vurilochensis
Iberis contracta
Carex trifida
Geranium purpureum
Dolichos pruriens
Swida asperifolia
Cerastium durmitoreum
Veronica funesta
Ornithogalum pater-familias
Malcolmia bucharica
Quercus brachylobus
Hypericum umbellatum
Carex hartwegii
Potamogeton flabellatus
Obione decumbens
Ranunculus strigillosus
Lagoseris alata
Moskerion hispanicum
Teucrium pilosum
Festuca alpigena
Canna sulphurea
Coix palustris
Cymbopogon rectus
Asphodeloides ramosa
Pilosella przybyslawskii
Triceras oxyceras
Avena hookeri
Pandanus delessertii
Quercus ettingeri
Avena bolivaris
Terebinthus atlanticus
Stachys czernjaevii
Epilobium tauschii
Mimosa scabrella
Carex setosa
Mimosa macroloba
Glycyrrhiza hirsuta
Polygonum posumbu
Rubus lindleyanus
Euphorbia angustifolia
Selinum levisticum
Salix violacea
Ribes flavum
Abrotanum suave
Acomastylis glacialis
Gentiana lutea
Viola reichenbachiana
Aristida peruviana
Spiraea ribisoidea
Cyperus ligularis
Galium repugnans
Hyssopus recticaulis
Reynoutria henryi
Picris humifusa
Peucedanum sowa
Pandanus rockii
Alchemilla ursina
Carex phaeostachya
Carex fimbriata
Rubus hirsutus
Reynoutria hastata
Adonis phoenicea
Terebinthus vulgaris
Thymus subhirsutus
Triticum asperum
Inula rhizocephala
Succisa columbaria
Hedera aralia
Cineraria farfara
Quercus imponens
Urochloa mutica
Calendula eriocarpa
Deyeuxia langsdorffii
Draba carniolica
Arcion majus
Aconitum rostratum
Erophila curtipes
Astragalus leontinus
Carex aa
Polygonum maritimum
Quercus macroloba
Asperugo vulgaris
Prosopis domingensis
Scrophularia minima
Cactus nobilis
Jalapa undulata
Auganthus lactiflorus
Dianthus arrosti
Arabis barbarea
Salvia dumetorum
Cistus thymifolius
Cenchrus digynus
Cosmos phothea
Euphorbia cornigera
Zamia laeta
Chytroma simiorum
Helianthemum arcuatum
Festuca hyperborea
Carex gaudichaudiana
Inula conyza
Panicum molokaiense
Aglotoma multiflora
Carex picta
Salix davalliana
Panicum cornae
Atriplex australasica
Ficus pyrifolia
Indigofera tulearensis
Carex montana
Entandrophragma macrocarpum
Scutellaria improvisa
Chaetospora avenacea
Pectinaria vulgaris
Epilobium mirei
Bromopsis korotkyi
Lonicera dumetorum
Aster nitens
Carex pamirica
Panicum nashianum
Carex yingkiliensis
Cynara ferox
Ardisia linangensis
Geranium sibiricum
Solanum ulmoides
Atropis conferta
Carlemannia henryi
Agropyron boreale
Atriplex gracilis
Cupressus gigantea
Zappania suberosa
Gossypium rufum
Allium wakegi
Setaria stolzii
Holcus racemosus
Chenopodium melanospermum
Bupleurum thianschanicum
Paspalum virgatum
Rhytidospermum inodorum
Arundo lithuanica
Anacampseros verlotii
Zannichellia graminifolia
Mentha hybrida
Juncus olympicus
Sium vulgare
Salix longipes
Campanula fastigiata
Gossypium harrisii
Vitis luteola
Crepidiastrum denticulatum
Cucurbita maxima
Xanthoxalis fontana
Triticum gaertnerianum
Convallaria leptophylla
Melica transsilvanica
Avena bromoides
Eryngium tournefortii
Cerinthe glabra
Peutalis persicaria
Euonymus maackii
Euonymus planipes
Panicum gyrans
Podocarpus junghuhnianus
Chrysurus echinatus
Alnus subcordata
Cyperus macrocarpus
Dracaena deisteliana
Quercus leptophylla
Juncus fasciculatus
Vilfa lateriflora
Salix mielichoferi
Acalypha compacta
Andropogon glaber
Rhynchospora eximia
Apium australe
Myrtus vidalii
Campanula allionii
Primula incana
Racosperma ampliceps
Jacaranda tuberculosa
Bothriochloa taiwanensis
Callitriche linearis
Cynodon arcuatus
Noticastrum haplopappus
Cordyline fragrans
Panicum eriogonum
Adonis cristata
Leontodon megalorhizos
Rubia richardiana
Salsola decumbens
Cnicus dissectus
Pandanus christophersenii
Hypochaeris simplex
Chamaesyce ophthalmica
Olotrema brunnea
Noticastrum haplopappum
Arabis constricta
Barringtonia timorensis
Pulegium vulgare
Campanula lanceolata
Chamaesyce emarginata
Solanum pluviale
Podocarpus lanceolata
Vignea heleonastes
Alopecurus bonariensis
Crepinia squarrosa
Cardamine yunnanensis
Euphorbia pandurifolia
Dantia nubica
Sporobolus minor
Taxus pedunculata
Galium trichophyllum
Hieracium chrysanthum
Aristida vaseyi
Freycinetia hivaoensis
Allium affine
Poa poecilantha
Pandanus kraussii
Polymnia crenata
Cerastium balcanicum
Adenolinum pyrenaicum
Triticum fragile
Argentina vulgaris
Ornithogalum joannoni
Cyperus borbonicus
Typha maresii
Pennisetum implicatum
Erodium jacquinianum
Chamaeraphis corrugata
Euphrasia vernalis
Capsella laxa
Origanum anglicum
Prismatomeris connata
Scilla jacquinii
Chaetaria squarrosa
Sagitta palustris
Salix ledebouriana
Ranunculastrum nemorivagum
Abies menziesii
Crinum carinifolium
Carinta uniflora
Quercus stenocarpa
Arbutus turbinata
Gussonia australis
Gagea fibrosa
Glyceria acutiflora
Ceanothus tardiflorus
Quercus undulatifolia
Daphne orthophylla
Ulmus diversifolia
Carex lutensis
Pinus taeda
Selinum pimpinella
Helianthemum semistipulatum
Saxifraga bronchialis
Melica littoralis
Ulmus rotundifolia
Agrostis valentina
Avenastrum caryophylleum
Arbutus nothocomaros
Lactuca augustana
Geophila macropoda
Chrysophyllum sanguinolentum
Acer collinum
Avena maxima
Leptochloa capillacea
Chenopodium murale
Euthamia hirtella
Koeleria pectinata
Carex vulpinaris
Agropyron flaccidifolium
Rubus adspersus
Ranunculus pseudoparviflorus
Cochlearia rotundifolia
Cerris crinita
Melissa granatensis
Chrysanthemum atratum
Galeopsis latifolia
Eucalyptus sclerophylla
Gaillardia bicolor
Juncus juzepczukii
Stizolobium cochinchinense
Clarkia amoena
Chenopodium incisum
Retinispora andelyensis
Cupressus lusitanica
Cosmarium aestivale
Pinus griffithii
Taxus occidentalis
Achillea nobilis
Lamium nudum
Allium tenuissimum
Petasites corymbosus
Ipomoea arborescens
Sabulina propinqua
Carex aethostachya
Salvia pyrenaica
Ekebergia chevalieri
Schnella rosea
Vicia vulgaris
Trifolium baicalense
Festuca mollis
Agathophytum glaucum
Galium pallidiflorum
Gentiana excisa
Anacampseros praecelsa
Petalostemon tenuis
Brachypodium plukenetii
Persicaria pubescens
Hordeum cylindricum
Pinus concolor
Entada wrbaena
Anodontea canescens
Campanula sanctae-balmae
Potentilla emarginata
Arnebia echioides
Sclarea pratensis
Isolepis willdenowii
Cissus paniculata
Salix pseudopolaris
Alchemilla reniformis
Bidens inermis
Mentha ehrhartiana
Laurus geniculata
Phaeocephalum ciliare
Afzelia caudata
Neskiza loliacea
Schoenus longus
Vignea saxatilis
Mentha tenuicaulis
Cerastium tatrense
Aningeria robusta
Waltheria angustifolia
Amorphophallus kachinensis
Pancovia palustris
Colpodium tilesii
Thlaspi neglectum
Carex chrysoleuca
Chenopodium bonus-henricus
Draba intermedia
Caladium vellozoanum
Pocilla persica
Myrceugenia apiculata
Calamagrostis agrostioides
Scirpus triqueter
Draba incanohirta
Hieracium longilobum
Eragrostis lugens
Asclepias fasciculata
Fragaria praecox
Carex patula
Primula pseudoelatior
Poa protuberata
Tagetes remotiflora
Dorycnium hirsutum
Mentha marisensis
Mariscus parviflorus
Capsella bifida
Centaurea platylepis
Cenchrus glaucus
Ficus taquetii
Echinospermum casanicum
Galanthus olgae-reginae
Artemisia dubia
Carex goodenoughii
Ismelia versicolor
