Afrocarpus mannii
Nepenthes cristata
Sloanea langii
Coptosperma neurophyllum
Pancovia delavayi
Petastoma physaloides
Primula seclusa
Celastrus articulata
Veronica austriaca
Parsonsia albiflora
Ballota nigra
Rhagadiolus kolpinia
Bombax pumilum
Picea asperata
Alseis floribunda
Galeopsis bifida
Hiraea paniculata
Hepatica conica
Buccaferrea lucida
Adansonia za
Osmitopsis asteriscoides
Chenopodium benghalense
Prunella microphylla
Nama demissa
Gentiana dahurica
Acacia beckleri
Xylosma vincentii
Gynopogon maddgascariensis
Paliurus perforatus
Chionanthus ramiflora
Gladiolus brevitubus
Comandra obtusifolia
Allium stellerianum
Cyperus impubes
Kleinia articulata
Asplenium polyodon
Cochlearia hastata
Ostryopsis davidiana
Willughbeia coriacea
Nepeta melissifolia
Ercilla volubilis
Camellia albescens
Arbutus croomii
Asclepias cancellata
Delphinium monophyllum
Conostylis bracteata
Rhus obliqua
Schizonotus discolor
Medicago noeana
Opuntia stricta
Catostemma fragrans
Patrisia parviflora
Adenodus sylvestris
Capsella helsingica
Goodenia glandulifera
Piper scalpens
Bergia pedicellaris
Cistus inconspicuus
Polygala luzoniensis
Cardamine libertiana
Gladiolus woodii
Pragmatropa pendula
Cleistes monantha
Stalagmitis elliptica
Sideroxylon repens
Catasetum expansum
Barbarea arisanense
Dichelachne inaequiglumis
Navarretia capillaris
Pinus roezlii
Holosteum montanum
Eugenia biflora
Euonymus forbesii
Bermudiana ternifolia
Asterolinon trinum
Alchornea trewioides
Rheum undulatum
Diospyros pavonii
Hibiscus purpurascens
Daphne euboica
Coccoloba novogranatensis
Conostegia xalapensis
Felicia filifolia
Citharexylum megacanthum
Mentha rigens
Nicotiana capensis
Dipladenia sancta
Osmorhiza depauperata
Lamium sempervirens
Pelargonium juttae
Malacothamnus nesioticus
Phyllanthus microdictyus
Muscari vinyalsii
Dodecatheon lutescens
Nigella segetalis
Guatteria villosissima
Ficus sordidissima
Agallochum sinense
Bonnaya grandiflora
Satureja remota
Saloa insignis
Knesebeckia incarnata
Searsia undulata
Parsonsia lanceolata
Pultenaea densifolia
Euphrasia stricta
Pyxipoma polyandrum
Persicaria acris
Cavendishia ulei
Cassia artemisioides
Cookia wampi
Mollinedia casca
Verbena glauca
Cereus candelabrum
Arenaria muscorum
Cymbalaria alpina
Cornus stracheyi
Boehmeria macrostachya
Niemeyera antiloga
Styrax serrulatum
Coriaria japonica
Styrax serrulatus
Prosopis oblonga
Retiniphyllum pilosum
Chromolucuma rubriflora
Dendrophylax lindenii
Brunsfelsia americana
Ficus pomifera
Canarium saphu
Populus oxyodonta
Mezia includens
Megalonium nobile
Persea caryophyllata
Convallaria majalis
Maurocenia phylliraea
Cynanchum thesioides
Phacelia gymnoclada
Daucus carota
Saxifraga sedoides
Dichaea neglecta
Thibaudia vitis-idaea
Nothofagus solandri
Euphorbia setiloba
Alismorchis tricarinata
Clematepistephium smilacifolium
Polygala pinifolia
Clinopodium umbrosum
Polygonum striatulum
Centaurea hajastana
Pleurothallopsis striata
Prestonia muelleri
Celtis epiphylladena
Aiphanes minima
Amaranthus incomptus
Cardamine hederacea
Leucas linifolia
Cariniana ianeirensis
Tetanosia olacioides
Plenasium claytonianum
Antigonon platypus
Acacia guinetii
Acer kungshanense
Menispermum glaucum
Swida candidissima
Cheiranthus viridis
Uvaria calamistrata
Primula ranunculoides
Anabasis setifera
Statice virgata
Sunaptea odorata
Acinodendron sellowianum
Erica assurgens
Hua gabonii
Nageia spicata
Vasconcellea monoica
Adonidia merrillii
Gurania tubulosa
Aglaia betchei
Ligusticum ajanense
Crucifera myagrum
Geniosporum rotundifolium
Cayaponia racemosa
Phillyrea angustifolia
Saxifraga flava
Gaussia princeps
Cabralea oblongifoliola
Laureola sempervirens
Laurus tawa
Thalictrum foetidum
Salvia tricolor
Luzula subcongesta
Erodium oxyrrhynchum
Calamagrostis breviaristata
Carex buxbaumii
Cereus princeps
Clusia clusioides
Carex diandra
Microsorium punctatum
Cynophalla declinata
Thecanisia discolor
Coccinia rigida
Dioscorea trifida
Malaxis monophylla
Myrica floridana
Bruguiera parviflora
Lonicera lanceolata
Leptospermum polygalifolium
